,Team,Region,Rank,Make,2nd Round,Sweet 16,Elite 8,Final 4,Championship,Win,Odds
0,Michigan,FinalFour,16,100.0,72.91,56.75,40.73,32.71,21.39,14.09,6.097232079488999
1,Duke,FinalFour,1,100.0,88.61,67.84,51.37,34.91,21.26,13.12,6.621951219512195
2,Illinois,EliteEight,13,100.0,79.73,57.45,39.94,27.41,17.57,10.66,8.380863039399625
3,Arizona,FinalFour,9,100.0,79.49,53.06,36.17,21.29,13.09,7.32,12.66120218579235
4,Purdue,EliteEight,12,100.0,82.14,56.47,36.93,24.54,13.68,7.17,12.94700139470014
5,Florida,EliteEight,16,100.0,78.78,51.97,36.27,21.71,11.3,6.69,13.947683109118087
6,Houston,SweetSixteen,3,100.0,69.71,51.13,32.07,21.98,12.08,6.54,14.29051987767584
7,Connecticut,FinalFour,8,100.0,80.06,49.99,33.35,18.11,9.49,4.78,19.920502092050206
8,Iowa St.,EliteEight,9,100.0,76.27,47.21,31.72,14.59,8.15,3.84,25.041666666666668
9,Vanderbilt,east,5,100.0,65.42,37.74,17.39,10.07,4.9,2.32,42.10344827586208
10,Alabama,SweetSixteen,15,100.0,75.53,43.49,20.03,10.03,5.44,2.24,43.64285714285714
11,Gonzaga,SweetSixteen,13,100.0,68.62,40.12,21.03,12.37,4.95,2.19,44.662100456621005
12,Michigan St.,SweetSixteen,14,100.0,63.14,40.22,20.75,9.79,4.75,2.14,45.72897196261682
13,Texas Tech,SweetSixteen,9,100.0,64.28,35.57,15.53,9.0,4.36,1.73,56.80346820809248
14,Virginia,SweetSixteen,4,100.0,66.42,44.26,24.45,9.83,4.19,1.67,58.880239520958085
15,Louisville,south,6,100.0,54.16,31.63,17.14,8.51,3.85,1.55,63.516129032258064
16,Kansas,SweetSixteen,2,100.0,67.03,37.96,17.37,8.05,3.45,1.3,75.92307692307692
17,Tennessee,west,5,100.0,55.32,32.64,11.19,5.5,2.51,1.14,86.71929824561404
18,Nebraska,SweetSixteen,8,100.0,65.79,33.32,14.69,5.15,2.43,1.09,90.74311926605503
19,Arkansas,south,5,100.0,61.11,33.63,15.03,6.26,2.65,0.9,110.1111111111111
20,St. John's,west,6,100.0,57.37,34.98,17.57,5.68,1.92,0.74,134.13513513513513
21,Iowa,east,7,100.0,56.4,25.74,13.45,4.86,1.92,0.54,184.18518518518516
22,Wisconsin,west,7,100.0,51.17,21.68,10.25,3.63,1.46,0.48,207.33333333333334
23,N.C. State,south,7,100.0,50.01,19.52,9.36,3.3,1.08,0.45,221.2222222222222
24,Saint Mary's,midwest,9,100.0,47.77,22.52,13.24,3.94,1.62,0.41,242.90243902439028
25,Utah St.,south,8,100.0,50.2,23.47,11.48,3.8,1.54,0.41,242.90243902439028
26,North Carolina,midwest,5,100.0,58.94,32.39,13.67,5.57,1.82,0.38,262.15789473684214
27,Villanova,south,9,100.0,49.8,19.61,9.78,3.97,1.25,0.35,284.7142857142857
28,Texas A&M,west,9,100.0,59.93,15.69,9.15,4.15,1.03,0.35,284.7142857142857
29,SMU,east,10,100.0,43.6,18.73,10.37,3.39,1.08,0.34,293.1176470588235
30,BYU,east,6,100.0,50.08,24.11,8.7,3.39,1.03,0.31,321.5806451612903
31,Georgia,east,9,100.0,54.86,19.9,8.2,2.95,1.03,0.3,332.33333333333337
32,Indiana,south,11,100.0,45.84,22.72,8.57,3.55,1.35,0.29,343.82758620689657
33,Ohio St.,west,11,100.0,42.63,21.29,8.94,3.25,1.02,0.29,343.82758620689657
34,Texas,west,10,100.0,48.83,19.06,7.49,2.52,0.91,0.26,383.6153846153846
35,Saint Louis,midwest,7,100.0,47.6,18.75,5.71,2.48,0.73,0.23,433.78260869565213
36,Clemson,midwest,10,100.0,52.4,18.24,6.24,2.58,0.76,0.18,554.5555555555555
37,Missouri,midwest,11,100.0,52.46,20.67,7.31,2.42,0.6,0.18,554.5555555555555
38,Kentucky,midwest,6,100.0,47.54,18.66,8.23,2.86,1.02,0.16,624.0
39,Miami FL,midwest,8,100.0,52.23,21.74,9.37,3.29,0.82,0.15,665.6666666666666
40,UCLA,west,8,100.0,40.07,12.43,5.12,2.04,0.51,0.13,768.2307692307693
41,Utah Valley,west,13,100.0,35.72,14.75,3.55,0.58,0.25,0.08,1249.0
42,UCF,east,8,100.0,45.14,15.85,5.72,2.2,0.63,0.07,1427.5714285714284
43,South Florida,south,12,100.0,38.89,16.0,5.64,1.62,0.39,0.06,1665.6666666666667
44,TCU,south,10,100.0,49.99,17.01,5.51,1.44,0.39,0.06,1665.6666666666667
45,California,east,11,100.0,49.92,17.34,6.39,1.29,0.38,0.06,1665.6666666666667
46,Belmont,west,12,100.0,44.68,17.04,3.74,1.08,0.48,0.05,1999.0
47,Yale,east,12,100.0,34.58,12.02,3.05,0.76,0.33,0.04,2499.0
48,High Point,east,13,100.0,31.38,10.12,1.62,0.5,0.18,0.04,2499.0
49,Stephen F. Austin,midwest,12,100.0,41.06,16.02,3.27,0.58,0.22,0.03,3332.3333333333335
50,Liberty,midwest,13,100.0,36.86,11.37,3.84,0.79,0.14,0.03,3332.3333333333335
51,North Dakota St.,east,14,100.0,33.58,14.29,3.51,0.74,0.24,0.02,4999.0
52,Hawaii,midwest,14,100.0,30.29,9.54,1.77,0.68,0.1,0.02,4999.0
53,UMBC,east,16,100.0,27.09,7.5,2.26,0.28,0.1,0.01,9999.0
54,Austin Peay,south,14,100.0,32.97,7.69,1.26,0.3,0.06,0.01,9999.0
55,Tennessee St.,south,16,100.0,20.51,3.86,0.42,0.14,0.03,0.01,9999.0
56,Navy,west,14,100.0,34.21,10.41,2.7,0.34,0.04,0.0,0.0
57,Bethune Cookman,midwest,16,100.0,19.94,5.75,2.51,0.32,0.03,0.0,0.0
58,East Tennessee St.,west,15,100.0,21.22,7.29,2.09,0.35,0.02,0.0,0.0
59,Portland St.,south,15,100.0,20.27,6.02,0.85,0.19,0.0,0.0,0.0
60,UNC Wilmington,south,13,100.0,24.47,6.88,1.45,0.14,0.0,0.0,0.0
61,Robert Morris,west,16,100.0,11.39,4.04,0.35,0.11,0.0,0.0,0.0
62,Merrimack,midwest,15,100.0,17.86,6.54,1.74,0.07,0.0,0.0,0.0
63,South Alabama,east,15,100.0,23.73,8.32,1.41,0.07,0.0,0.0,0.0
