away_team,home_team,commence_time,DraftKings,BetMGM spreads,FanDuel,AWAY_ID,AWAY,HOME_ID,HOME
Prairie View Panthers,Lehigh Mountain Hawks,2026-03-18 17:40:00-05:00,-3.5,,-3.5,650,Prairie View A&M,385,Lehigh
Navy Midshipmen,Wake Forest Demon Deacons,2026-03-18 18:00:00-05:00,-12.5,-12.5,-11.5,528,Navy,962,Wake Forest
GW Revolutionaries,Utah Valley Wolverines,2026-03-18 19:00:00-05:00,-2.5,-2.5,-1.5,264,George Washington,938,Utah Valley
Kent State Golden Flashes,Illinois St Redbirds,2026-03-18 19:00:00-05:00,-6.5,-6.5,-6.5,363,Kent St.,319,Illinois St.
Dayton Flyers,Bradley Braves,2026-03-18 20:00:00-05:00,1.5,1.5,1.5,181,Dayton,84,Bradley
Sam Houston St Bearkats,New Mexico Lobos,2026-03-18 20:00:00-05:00,-11.5,-11.5,-11.5,716,Sam Houston St.,540,New Mexico
Miami (OH) RedHawks,SMU Mustangs,2026-03-18 20:15:00-05:00,-6.5,,-6.5,467,Miami OH,775,SMU
Murray St Racers,Nevada Wolf Pack,2026-03-18 21:00:00-05:00,-8.5,-8.5,-8.5,516,Murray St.,535,Nevada
UIC Flames,California Golden Bears,2026-03-18 22:00:00-05:00,-5.5,-5.5,-5.5,323,Illinois Chicago,119,California
Saint Joseph's Hawks,Colorado St Rams,2026-03-18 22:00:00-05:00,-5.5,,-5.5,706,Saint Joseph's,160,Colorado St.
TCU Horned Frogs,Ohio State Buckeyes,2026-03-19 11:15:00-05:00,-2.5,,-2.5,1013,TCU,603,Ohio St.
Troy Trojans,Nebraska Cornhuskers,2026-03-19 11:40:00-05:00,-12.5,-12.5,-12.5,865,Troy,530,Nebraska
South Florida Bulls,Louisville Cardinals,2026-03-19 12:30:00-05:00,-4.5,-4.5,-4.5,760,South Florida,412,Louisville
High Point Panthers,Wisconsin Badgers,2026-03-19 12:50:00-05:00,-10.5,-10.5,-9.5,296,High Point,995,Wisconsin
Siena Saints,Duke Blue Devils,2026-03-19 13:50:50-05:00,-28.5,-27.5,-28.5,741,Siena,201,Duke
McNeese Cowboys,Vanderbilt Commodores,2026-03-19 14:15:00-05:00,-11.5,-11.5,-11.5,448,McNeese St.,946,Vanderbilt
North Dakota St Bison,Michigan St Spartans,2026-03-19 15:05:59-05:00,-16.5,-16.5,-16.5,575,North Dakota St.,470,Michigan St.
Hawai'i Rainbow Warriors,Arkansas Razorbacks,2026-03-19 15:25:05-05:00,-15.5,-15.5,-15.5,294,Hawaii,37,Arkansas
VCU Rams,North Carolina Tar Heels,2026-03-19 17:50:00-05:00,-2.5,-2.5,-2.5,940,VCU,569,North Carolina
Howard Bison,Michigan Wolverines,2026-03-19 18:10:42-05:00,-31.5,-31.5,-30.5,307,Howard,474,Michigan
Texas Longhorns,BYU Cougars,2026-03-19 18:25:00-05:00,-1.5,-2.5,-1.5,845,Texas,86,BYU
Texas A&M Aggies,Saint Mary's Gaels,2026-03-19 18:35:00-05:00,-3.5,,-2.5,841,Texas A&M,712,Saint Mary's
Pennsylvania Quakers,Illinois Fighting Illini,2026-03-19 20:25:00-05:00,-24.5,-24.5,-24.5,637,Penn,318,Illinois
Saint Louis Billikens,Georgia Bulldogs,2026-03-19 20:45:00-05:00,-1.5,-1.5,-1.5,708,Saint Louis,268,Georgia
Kennesaw St Owls,Gonzaga Bulldogs,2026-03-19 21:00:00-05:00,-20.5,-20.5,-20.5,360,Kennesaw St.,279,Gonzaga
Idaho Vandals,Houston Cougars,2026-03-19 21:10:00-05:00,-23.5,-23.5,-23.5,315,Idaho,305,Houston
Santa Clara Broncos,Kentucky Wildcats,2026-03-20 11:15:00-05:00,-3.5,-2.5,-3.5,734,Santa Clara,369,Kentucky
Akron Zips,Texas Tech Red Raiders,2026-03-20 11:40:00-05:00,-7.5,-7.5,-7.5,4,Akron,856,Texas Tech
LIU Sharks,Arizona Wildcats,2026-03-20 12:35:00-05:00,-30.5,-30.5,-30.5,373,LIU,32,Arizona
Wright St Raiders,Virginia Cavaliers,2026-03-20 12:50:03-05:00,-18.5,-18.5,-17.5,998,Wright St.,954,Virginia
Tennessee St Tigers,Iowa State Cyclones,2026-03-20 13:50:00-05:00,-24.5,-24.5,-24.5,825,Tennessee St.,338,Iowa St.
Hofstra Pride,Alabama Crimson Tide,2026-03-20 14:15:56-05:00,-11.5,-11.5,-11.5,298,Hofstra,10,Alabama
Utah State Aggies,Villanova Wildcats,2026-03-20 15:10:00-05:00,1.5,1.5,1.5,930,Utah St.,951,Villanova
Iowa Hawkeyes,Clemson Tigers,2026-03-20 17:50:00-05:00,2.5,2.5,2.5,335,Iowa,149,Clemson
Northern Iowa Panthers,St. John's Red Storm,2026-03-20 18:10:00-05:00,-10.5,,-10.5,589,Northern Iowa,783,St. John's
UCF Knights,UCLA Bruins,2026-03-20 18:25:00-05:00,-5.5,-5.5,-5.5,888,UCF,891,UCLA
Queens University Royals,Purdue Boilermakers,2026-03-20 18:35:00-05:00,-25.5,-25.5,-25.5,668,Queens,661,Purdue
Cal Baptist Lancers,Kansas Jayhawks,2026-03-20 20:45:00-05:00,-14.5,-14.5,-14.5,118,Cal Baptist,354,Kansas
Furman Paladins,UConn Huskies,2026-03-20 21:00:00-05:00,-20.5,-20.5,-20.5,255,Furman,166,Connecticut
Missouri Tigers,Miami Hurricanes,2026-03-20 21:10:00-05:00,-1.5,-2.5,-1.5,497,Missouri,465,Miami FL
