,commence_time,DraftKings,BetMGM spreads,FanDuel,AWAY,HOME,date_x,match,teams,muid,Date,conmatch,matchup,prediction,ttq,Div1,HomeAway,Tm,Date_zero,tm_oe,tm_de,tm_Bart,tm_winpercent,tm_proScore,opp,opp_oe,opp_de,opp_Bart,opp_winpercent,opp_proScore,tpro,tm_qual,gp,result,tempo,possessions,tm_pts,opp_pts,winner,loser,tm_adjt,opp_adjt,tm_adjo,tm_adjd,opp_adjo,opp_adjd,gamevalue,mismatch,blowout,tm_elite,opp_elite,ord_date,tm_ppp,opp_ppp,gameppp,tm_rk,opp_rk,tm_gs,opp_gs,gamestats,VegasSpread,VegasTotal,Reg_dif,Over_dif,Daily_Reg_Tm_net_eff,Daily_Reg_Opp_net_eff,LeagueTempo,LeagueOE,DateNew,Pomeroy_Tm_AdjEM,Pomeroy_Tm_AdjOE,Pomeroy_Tm_AdjDE,Pomeroy_Tm_AdjT,Pomeroy_Opp_AdjEM,Pomeroy_Opp_AdjOE,Pomeroy_Opp_AdjDE,Pomeroy_Opp_AdjT,tm_ptdiff,tm_offensive_rating,tm_defensive_rating,opp_offensive_rating,opp_defensive_rating,Team,TRank_Tm_AdjEM,TRank_Tm_AdjOE,TRank_Tm_AdjDE,TRank_Tm_AdjT,TRank_Opp_AdjEM,TRank_Opp_AdjOE,TRank_Opp_AdjDE,TRank_Opp_AdjT,Team_y,MG_Tm_AdjT,MG_ATS_Tm_net_eff,MG_Tm_AdjEM,MG_Tm_AdjOE,MG_Tm_AdjDE,MG_Opp_AdjT,MG_ATS_Opp_net_eff,MG_Opp_AdjEM,MG_Opp_AdjOE,MG_Opp_AdjDE,Pomeroy_Tm_Score,Pomeroy_Opp_Score,Pomeroy_OverUnder,Pomeroy_PointDiff,Pomeroy_GameTempo,TRank_Tm_Score,TRank_Opp_Score,TRank_OverUnder,TRank_PointDiff,TRank_GameTempo,MG_Tm_Score,MG_Opp_Score,MG_OverUnder,MG_PointDiff,MG_GameTempo,MG_ATS_PointDiff,MG_ATS_GameTempo,Daily_Reg_PointDiff,Daily_Reg_GameTempo,away_team_y,home_team_y,date_y,VegasImpliedWinPercent,MG_ATS_ImpliedWinPercent,Dif_from_Vegas,Pt_Spread_Difference,Total_Diff,Pomeroy_PointDiffSelection,MG_ATS_PointDiffSelection,Both
0,2025-03-18 20:10:00-05:00,4.5,4.5,5.5,North Carolina,San Diego St.,3/18/2025,TRUE,North Carolina vs San Diego St.,North CarolinaSan Diego St.3-18,3/18/2025,ACC vs. MWC,36 North Carolina vs. 53 San Diego St.,"North Carolina -2.2, 73-71 (59%)",78.81662703,3,N,North Carolina,3/18/2025,118.8526955,99.81053134,0.881637442,0.588205283,72.78722518,San Diego St.,108.9123707,94.34298216,0.839090629,0.411794717,70.56512365,69.09137147,,0,,,,,,,,,,,,,,,,,0.633148336,0.547158441,739328,,,,36,53,,,,2.222101534,143.3523488,7.6,5.7,8.3,0.7,71.2,101.4,20250318,19.6,118.9,99.3,70.4,16.3,109.8,93.5,66,,,,,,North Carolina,19.0202,118.831,99.8108,70.5618,14.5504,108.888,94.3376,65.7935,North Carolina,71.38931875,15.58540667,17.42921731,117.1664525,99.73723524,66.61668212,15.35266833,14.26811687,107.0419985,92.77388159,71.54711256,70.16979935,141.7169119,1.377313211,65.25842697,72.08572448,69.88633246,141.9720569,2.199392021,65.20376107,71.60235329,70.32501307,141.9273664,1.277340222,66.79381396,0.155454812,66.79381396,5.076329861,66.79381396,North Carolina Tar Heels,San Diego St Aztecs,3/18/2025,30.02055143,49.40937875,19.38882732,-5.344545188,0.355454812,San Diego St.,San Diego St.,1
16,2025-03-18 20:00:12-05:00,-4.5,-4.5,-4.5,Saint Louis,Arkansas St.,3/18/2025,TRUE,Saint Louis vs Arkansas St.,Saint LouisArkansas St.3-18,3/18/2025,A10 at SB,108 Saint Louis at 95 Arkansas St.,"Arkansas St. -5.1, 78-73 (69%)",57.97869455,3,H,Saint Louis,3/18/2025,107.421593,104.8589683,0.568974079,0.310475294,72.99227126,Arkansas St.,111.1147174,101.193627,0.745653754,0.689524706,78.09278626,69.51101115,,0,,,,,,,,,,,,,,,,,0.694818503,0.901932965,739328,,,,108,95,,,,-5.100515002,151.0850575,1.7,4.7,2.7,1.1,71.2,101.4,20250318,5.1,109.3,104.2,67.3,7.9,110.1,102.2,69.8,,,,,,Saint Louis,5.334,108.818,103.484,67.1375,7.166,109.693,102.527,69.5692,Saint Louis,67.21746879,3.398349968,4.824858954,108.4177373,103.5928783,70.36433692,11.13397115,8.717637228,108.1641427,99.44650543,70.66061708,76.75090165,147.4115187,-6.090284562,65.97668539,70.17089978,75.50787662,145.6787764,-5.336976842,65.59974951,68.66896482,75.47548758,144.1444524,-6.806522759,66.42854804,-7.13381072,66.42854804,-0.832482564,66.42854804,Saint Louis Billikens,Arkansas St Red Wolves,3/18/2025,66.58824291,75.15611148,8.567868569,-2.63381072,2.06618928,Arkansas St.,Arkansas St.,1
32,2025-03-18 19:00:28-05:00,-2.5,-2.5,-2.5,Chattanooga,Middle Tennessee,3/18/2025,TRUE,Chattanooga vs Middle Tennessee,ChattanoogaMiddle Tennessee3-18,3/18/2025,SC at CUSA,135 Chattanooga at 120 Middle Tennessee,"Middle Tennessee -5.3, 81-75 (69%)",53.01486442,3,H,Chattanooga,3/18/2025,112.5280764,112.6064319,0.497998788,0.307748721,75.24324853,Middle Tennessee,109.9070577,102.4975107,0.690543301,0.692251279,80.5926919,67.58972367,,0,,,,,,,,,,,,,,,,,0.749443847,0.924460908,739328,,,,135,120,,,,-5.34944337,155.8359404,-6.5,-5.1,-6.8,-0.4,71.2,101.4,20250318,5,115.2,110.2,66.5,4.3,109.1,104.8,68.2,,,,,,Chattanooga,2.857,114.01,111.153,66.5302,4.647,108.49,103.843,68.2639,Chattanooga,66.47926385,3.757319384,2.277107262,113.604494,111.3273867,68.41932874,4.576846435,3.432722496,106.2143025,102.78158,73.73194033,77.65516135,151.3871017,-3.923221024,63.69803371,72.40457,77.99715912,150.4017291,-5.59258912,63.78667022,71.51739596,76.59633465,148.1137306,-5.07893869,63.88295797,-2.386798508,63.88295797,-5.812838112,63.88295797,Chattanooga Mocs,Middle Tennessee St Blue Raiders,3/18/2025,59.4096386,58.9910262,-0.418612397,0.113201492,-4.986798508,Middle Tennessee,Chattanooga,0
48,2025-03-18 20:00:40-05:00,-5.5,-5.5,-5.5,Wichita St.,Oklahoma St.,3/18/2025,TRUE,Wichita St. vs Oklahoma St.,Wichita St.Oklahoma St.3-18,3/18/2025,Amer at B12,139 Wichita St. at 87 Oklahoma St.,"Oklahoma St. -8.2, 80-72 (78%)",52.57637444,3,H,Wichita St.,3/18/2025,104.4598078,105.0242626,0.484511546,0.218478869,72.26076399,Oklahoma St.,109.2232064,98.29290823,0.770754999,0.781521131,80.49572829,72.83309178,,0,,,,,,,,,,,,,,,,,0.665016282,0.92814443,739328,,,,139,87,,,,-8.2349643,152.7564923,-0.4,0.5,5.9,6.3,71.2,101.4,20250318,2.7,106.8,104.1,68.6,6.3,107.7,101.4,71.4,,,,,,Wichita St.,2.129,105.828,103.699,68.6131,8.2311,107.819,99.5879,71.3265,Wichita St.,69.04236951,2.510724409,3.666256205,106.0704036,102.4041474,72.25341336,3.419441147,5.685443894,104.8686422,99.18319833,71.42782344,78.20719716,149.6350206,-6.779373724,68.79269663,69.45459763,77.92661013,147.3812078,-8.472012498,68.73500389,70.6711678,76.29484744,146.9660152,-5.623679643,70.06386044,-2.656638761,70.06386044,-2.361712608,70.06386044,Wichita St Shockers,Oklahoma State Cowboys,3/18/2025,69.97944857,59.98709995,-9.992348621,2.843361239,3.343361239,Oklahoma St.,Wichita St.,0
64,2025-03-18 22:00:51-05:00,-6.5,-6.5,-6.5,Cal St. Northridge,Stanford,3/18/2025,TRUE,Cal St. Northridge vs Stanford,Cal St. NorthridgeStanford3-18,3/18/2025,BW at ACC,128 Cal St. Northridge at 75 Stanford,"Stanford -9.1, 82-73 (80%)",52.51389343,3,H,Cal St. Northridge,3/18/2025,106.3238747,105.7547647,0.515425184,0.199976757,73.04172786,Stanford,113.7133898,100.2587361,0.809715088,0.800023243,82.14419013,70.93291071,,0,,,,,,,,,,,,,,,,,0.610674632,0.919445386,739328,,,,128,75,,,,-9.102462274,155.185918,3.3,-3.9,0,-3.3,71.2,101.4,20250318,,,,,9.5,112.1,102.6,66,,,,,,Cal St. Northridge,3.342,107.729,104.387,72.1999,10.683,112.262,101.579,66.0146,Cal St. Northridge,69,0,0,100,100,66.18257385,6.756109472,8.219519581,109.2722031,101.0526835,,,,,,70.23426388,79.54515733,149.7794212,-9.310893441,66.94167863,62.14074789,71.06575989,133.2065078,-8.925012004,64.13760668,-6.189724804,64.13760668,0.350319608,64.13760668,CSU Northridge Matadors,Stanford Cardinal,3/18/2025,73.20575055,72.22362393,-0.982126615,0.310275196,-3.589724804,Cal St. Northridge,Cal St. Northridge,1
72,2025-03-18 18:00:04-05:00,-5.5,-5.5,-5.5,Jacksonville St.,Georgia Tech,3/18/2025,TRUE,Jacksonville St. vs Georgia Tech,Jacksonville St.Georgia Tech3-18,3/18/2025,CUSA at ACC,133 Jacksonville St. at 90 Georgia Tech,"Georgia Tech -6.7, 74-67 (76%)",49.83301408,3,H,Jacksonville St.,3/18/2025,106.6296068,106.4777957,0.504096033,0.244885197,67.20634218,Georgia Tech,108.8283237,98.53648298,0.758131888,0.755114803,73.91441713,66.05447717,,0,,,,,,,,,,,,,,,,,0.680450756,0.922739995,739328,,,,133,90,,,,-6.708074957,141.1207593,-5.2,-9.6,-4.3,0.9,71.2,101.4,20250318,3.9,109.3,105.4,64.8,7.2,107.7,100.5,68.5,,,,,,Jacksonville St.,2.921,108.029,105.108,64.6405,7.6004,107.433,99.8326,68.6636,Jacksonville St.,65.12699483,5.598408473,2.717508748,105.9856166,103.2681079,69.528114,6.924655963,6.620873938,105.2515684,98.63069447,65.65800495,71.75957417,137.4175791,-6.101569226,62.34269663,64.45845558,71.37772697,135.8361826,-6.919271383,62.33777297,63.74063578,70.09293494,133.8335707,-6.352299155,63.59771237,-2.735700365,63.59771237,-5.057544478,63.59771237,Jacksonville St Gamecocks,Georgia Tech Yellow Jackets,3/18/2025,69.97944857,60.27774828,-9.70170029,2.764299635,-6.835700365,Georgia Tech,Jacksonville St.,0
88,2025-03-18 18:00:00-05:00,-4.5,-4.5,-4.5,Kent St.,St. Bonaventure,3/18/2025,TRUE,Kent St. vs St. Bonaventure,Kent St.St. Bonaventure3-18,3/18/2025,MAC at A10,127 Kent St. at 92 St. Bonaventure,"St. Bonaventure -5.6, 68-62 (74%)",49.10730905,3,H,Kent St.,3/18/2025,104.1565687,103.3942818,0.521105982,0.263375838,62.21460824,St. Bonaventure,107.8234668,97.8773666,0.752682374,0.736624162,67.84802254,62.86663442,,0,,,,,,,,,,,,,,,,,0.68682964,0.917743947,739328,,,,127,92,,,,-5.633414301,130.0626308,5.5,0.5,1.6,-3.9,71.2,101.4,20250318,2.6,105.4,102.8,66,5.7,106.3,100.6,64.3,,,,,,Kent St.,3.448,105.499,102.051,65.7803,7.2631,106.466,99.2029,64.2176,Kent St.,66.17068519,3.536007408,4.034562324,105.512313,101.4777507,65.01951305,5.24381358,6.528436,105.2729874,98.74455139,60.59396634,66.04489423,126.6388606,-5.450927895,59.60393258,59.53310209,65.36361815,124.8967202,-5.830516064,59.32939597,60.36170665,65.45684753,125.8185542,-5.095140879,60.42676586,-2.798196548,60.42676586,1.650980097,60.42676586,Kent St Golden Flashes,St Bonaventure Bonnies,3/18/2025,66.58824291,60.50709603,-6.081146885,1.701803452,2.201803452,St. Bonaventure,Kent St.,0
104,2025-03-18 22:00:15-05:00,-11.5,-11.5,-10.5,UC Riverside,Santa Clara,3/18/2025,TRUE,UC Riverside vs Santa Clara,UC RiversideSanta Clara3-18,3/18/2025,BW at WCC,151 UC Riverside at 51 Santa Clara,"Santa Clara -15.8, 86-70 (90%)",45.99654817,3,H,UC Riverside,3/18/2025,108.441112,110.4416679,0.447637094,0.097852579,70.3364707,Santa Clara,117.2461825,98.43516957,0.88195691,0.902147421,86.17118856,68.71296437,UC Riverside,0,,,,,,,,,,,,,,,,,0.471833693,0.937425415,739328,,,,151,51,,,,-15.83471786,156.5076593,-13.2,-11.7,-2.7,10.6,71.2,101.4,20250318,1.7,110.2,108.5,67.1,14.1,115.8,101.7,68.8,,,,,,UC Riverside,0.858,109.867,109.009,67.0122,15.9994,115.741,99.7416,68.8991,UC Riverside,68.13009285,6.242911782,2.768312855,108.1679623,105.3996494,69.30679651,18.96593359,15.42377016,115.1225791,99.6988089,69.67057376,82.60516772,152.2757415,-12.93459397,64.83820225,68.13133562,82.96118987,151.0925255,-14.82985424,64.84663299,68.57081409,81.59667168,150.1674858,-13.02585759,66.318518,-10.52869187,66.318518,-10.75062968,66.318518,UC Riverside Highlanders,Santa Clara Broncos,3/18/2025,84.13447461,84.20050419,0.066029587,-0.028691868,-11.72869187,Santa Clara,Santa Clara,1
120,2025-03-18 17:40:42-05:00,4.5,4.5,3.5,Alabama St.,Saint Francis,3/18/2025,TRUE,Alabama St. vs Saint Francis,Alabama St.Saint Francis3-18,3/18/2025,SWAC vs. NEC,274 Alabama St. vs. 301 Saint Francis,"Alabama St. -2.0, 71-70 (58%)",41.35597482,3,N,Alabama St.,3/18/2025,100.5314712,109.5962378,0.270355325,0.579968982,71.4943935,Saint Francis,99.8628302,111.9649581,0.211573519,0.420031018,69.51641103,67.60442328,,0,,,,,,,,,,,,,,,,,0.971046723,0.960457935,739328,,,,274,301,,,,1.977982467,141.0108045,11.4,-1.9,13.4,2,71.2,101.4,20250318,-9.2,101.4,110.6,67.7,-12.7,99.7,112.4,66.9,,,,,,Alabama St.,-9.091,100.521,109.612,67.626,-12.11,99.855,111.965,67.1724,Alabama St.,68.44900544,-9.15553456,-8.834650434,101.0725527,109.9072031,69,0,0,100,100,71.49918708,69.17467432,140.6738614,2.324512763,63.6113764,70.81507212,68.86753447,139.6826066,1.947537658,63.80057194,66.11979811,71.89926333,138.0190614,-5.77946522,66.33400808,-6.073233035,66.33400808,7.562076922,66.33400808,Alabama St Hornets,St Francis PA Red Flash,3/18/2025,36.94413402,71.85040148,34.90626747,-9.573233035,-11.47323304,Saint Francis,Saint Francis,1
