,Team,Region,Rank,Make,2nd Round,Sweet 16,Elite 8,Final 4,Championship,Win,Odds
0,Michigan,FinalFour,16,100.0,87.0,70.46,57.09,42.87,30.67,20.63,3.847309743092584
1,Houston,FinalFour,8,100.0,84.93,57.67,38.28,26.71,16.43,9.76,9.245901639344263
2,Arizona,FinalFour,9,100.0,78.16,56.77,38.42,24.17,14.27,8.23,11.15066828675577
3,Illinois,EliteEight,13,100.0,73.01,49.32,33.62,19.78,11.4,6.78,13.749262536873156
4,Duke,FinalFour,1,100.0,77.26,55.14,34.37,22.24,11.96,6.48,14.432098765432098
5,Florida,SweetSixteen,14,100.0,72.74,48.46,27.21,17.71,11.08,5.75,16.391304347826086
6,Purdue,SweetSixteen,4,100.0,72.45,52.01,33.05,16.65,10.03,5.28,17.939393939393938
7,Connecticut,EliteEight,9,100.0,70.49,48.95,29.46,14.43,9.32,4.55,20.978021978021978
8,Iowa St.,EliteEight,12,100.0,71.5,42.58,27.28,13.67,6.87,3.42,28.239766081871345
9,Vanderbilt,SweetSixteen,15,100.0,71.23,47.78,24.78,12.04,5.79,2.62,37.167938931297705
10,Kansas,SweetSixteen,2,100.0,62.08,38.91,22.51,11.91,4.62,2.03,48.26108374384237
11,Louisville,south,6,100.0,57.55,34.13,17.93,8.59,4.14,1.93,50.81347150259067
12,Alabama,SweetSixteen,9,100.0,66.3,37.36,20.44,10.51,4.43,1.91,51.35602094240838
13,Michigan St.,SweetSixteen,8,100.0,67.03,37.97,25.05,13.4,5.14,1.9,51.63157894736842
14,Texas Tech,west,5,100.0,59.66,33.74,18.69,10.97,4.23,1.87,52.475935828877
15,Nebraska,EliteEight,16,100.0,60.78,32.85,18.37,9.32,4.05,1.75,56.142857142857146
16,Tennessee,midwest,5,100.0,61.69,29.9,13.84,6.86,3.05,1.52,64.78947368421053
17,Gonzaga,SweetSixteen,3,100.0,60.26,32.09,15.78,6.92,3.22,1.24,79.64516129032259
18,Virginia,SweetSixteen,13,100.0,68.49,41.38,15.49,6.82,3.6,1.23,80.30081300813008
19,Iowa,midwest,7,100.0,58.39,28.29,17.02,6.7,2.77,1.16,85.20689655172414
20,Arkansas,south,5,100.0,68.09,33.86,13.76,6.39,3.05,1.13,87.49557522123895
21,Saint Louis,midwest,6,100.0,49.44,31.88,14.96,5.41,2.67,0.93,106.5268817204301
22,St. John's,west,6,100.0,58.19,33.15,16.34,6.33,2.08,0.79,125.58227848101265
23,BYU,west,7,100.0,51.08,31.74,16.79,7.22,2.47,0.76,130.57894736842104
24,Indiana,south,9,100.0,51.1,21.8,10.93,4.75,1.54,0.65,152.84615384615384
25,Clemson,east,7,100.0,54.61,21.78,11.75,4.23,1.87,0.58,171.41379310344828
