,Team,Region,Rank,Make,2nd Round,Sweet 16,Elite 8,Final 4,Championship,Win,Odds
0,Michigan,FinalFour,16,100.0,90.7,71.43,55.44,40.74,26.39,17.61,4.6785917092561045
1,Duke,FinalFour,1,100.0,81.23,63.15,48.09,35.14,22.89,15.07,5.635700066357001
2,Arizona,FinalFour,9,100.0,84.84,64.32,46.69,30.07,20.91,11.06,8.041591320072332
3,Illinois,EliteEight,13,100.0,80.85,55.79,35.86,23.53,14.75,7.93,11.610340479192939
4,Houston,EliteEight,16,100.0,79.49,55.96,37.53,22.49,12.71,7.82,11.787723785166241
5,Florida,EliteEight,12,100.0,75.31,50.77,38.95,26.69,15.55,7.67,12.03780964797914
6,Purdue,SweetSixteen,4,100.0,71.72,47.32,29.69,15.03,7.44,4.15,23.096385542168672
7,Connecticut,FinalFour,8,100.0,71.56,44.14,28.63,15.93,7.37,3.3,29.303030303030305
8,Alabama,SweetSixteen,14,100.0,73.62,46.48,27.73,14.85,6.33,2.48,39.32258064516129
9,Texas Tech,SweetSixteen,9,100.0,63.93,40.45,18.87,9.65,4.94,2.41,40.49377593360996
10,Iowa St.,SweetSixteen,2,100.0,71.08,41.22,22.46,10.52,5.55,2.08,47.07692307692307
11,Michigan St.,EliteEight,9,100.0,63.56,36.99,22.1,8.29,3.79,1.82,53.94505494505495
12,Virginia,SweetSixteen,13,100.0,68.55,42.71,17.48,9.13,3.76,1.61,61.11180124223602
13,Arkansas,south,5,100.0,58.31,33.21,16.26,7.82,4.24,1.58,62.291139240506325
14,Gonzaga,SweetSixteen,8,100.0,66.17,40.9,21.86,7.88,3.45,1.57,62.69426751592357
15,Nebraska,SweetSixteen,3,100.0,69.19,40.19,19.26,9.82,4.02,1.27,77.74015748031496
16,Louisville,south,6,100.0,59.52,32.68,14.98,6.75,3.36,1.22,80.9672131147541
17,Kansas,SweetSixteen,15,100.0,60.84,33.97,13.45,5.86,3.03,1.22,80.9672131147541
18,Vanderbilt,east,5,100.0,63.87,35.2,11.99,6.16,2.49,1.03,96.08737864077669
19,Tennessee,west,5,100.0,61.96,30.23,12.39,5.73,1.96,0.85,116.64705882352942
20,Wisconsin,south,7,100.0,63.59,28.26,13.96,5.05,2.3,0.66,150.5151515151515
21,St. John's,west,6,100.0,57.96,34.38,14.76,5.26,1.72,0.64,155.25
22,North Carolina,midwest,5,100.0,60.03,31.26,16.57,7.49,2.42,0.57,174.4385964912281
23,Kentucky,midwest,6,100.0,55.59,27.13,11.52,5.82,2.19,0.57,174.4385964912281
24,Saint Mary's,midwest,7,100.0,49.93,24.18,10.82,4.94,1.62,0.4,248.99999999999997
25,Iowa,west,7,100.0,57.09,23.34,11.26,3.95,1.25,0.35,284.7142857142857
26,Ohio St.,east,10,100.0,51.22,26.29,12.23,3.02,0.87,0.32,311.5
27,Saint Louis,east,7,100.0,48.78,26.99,12.32,4.44,1.01,0.31,321.5806451612903
28,Utah St.,south,9,100.0,46.38,14.54,6.77,2.81,1.04,0.27,369.3703703703704
29,Clemson,south,8,100.0,53.62,16.89,8.32,2.99,1.0,0.25,399.0
