,Team,Region,Rank,Make,2nd Round,Sweet 16,Elite 8,Final 4,Championship,Win,Odds
0,Illinois,SweetSixteen,14,100.0,90.11,75.56,63.01,40.8,22.32,15.56,5.426735218508997
1,Gonzaga,EliteEight,16,100.0,87.82,73.88,63.87,44.01,30.64,15.36,5.510416666666667
2,Louisville,EliteEight,13,100.0,92.2,75.5,47.59,33.38,21.59,15.1,5.622516556291391
3,Kentucky,midwest,10,100.0,77.88,71.04,58.69,36.06,18.9,12.69,6.880220646178094
4,Vanderbilt,SweetSixteen,2,100.0,79.27,57.44,35.07,25.16,15.32,10.28,8.72762645914397
5,Indiana,SweetSixteen,15,100.0,58.52,50.37,39.55,20.3,12.2,7.71,11.970168612191959
6,Duke,FinalFour,1,100.0,79.28,48.79,36.19,21.46,14.15,5.52,17.115942028985508
7,Connecticut,SweetSixteen,4,100.0,80.2,51.06,37.23,23.58,11.21,3.39,28.49852507374631
8,Iowa St.,SweetSixteen,13,100.0,81.27,58.1,37.52,19.22,8.67,2.73,35.63003663003663
9,Saint Mary's,west,8,100.0,65.79,36.29,26.12,13.14,7.24,2.6,37.46153846153846
10,Yale,south,13,100.0,41.48,28.58,17.14,5.93,2.51,1.36,72.52941176470588
11,N.C. State,east,7,100.0,67.13,46.95,23.89,12.63,4.76,1.28,77.125
12,Georgia,east,6,100.0,63.97,34.19,19.67,11.6,4.52,1.03,96.08737864077669
13,North Carolina,SweetSixteen,9,100.0,78.55,56.72,24.11,8.4,4.3,0.99,100.01010101010101
14,Santa Clara,east,9,100.0,59.37,36.85,19.32,9.5,3.88,0.8,124.0
15,Clemson,south,6,100.0,64.45,28.5,11.36,5.06,1.65,0.7,141.85714285714286
16,Houston,FinalFour,16,100.0,68.56,33.24,17.9,9.14,3.85,0.66,150.5151515151515
17,Arizona,FinalFour,9,100.0,78.16,46.21,16.81,4.39,1.04,0.31,321.5806451612903
18,Boise St.,west,11,100.0,53.77,34.98,8.76,2.81,1.37,0.25,399.0
19,Missouri,west,10,100.0,60.35,16.83,10.73,3.25,1.16,0.21,475.19047619047626
20,Iowa,midwest,8,100.0,62.95,40.98,13.99,5.22,0.72,0.21,475.19047619047626
21,BYU,SweetSixteen,3,100.0,63.67,33.43,11.58,4.11,0.91,0.17,587.235294117647
22,Florida,SweetSixteen,8,100.0,61.94,29.13,8.14,2.17,0.72,0.14,713.2857142857142
23,Virginia,south,5,100.0,53.5,11.8,7.7,1.71,0.34,0.13,768.2307692307693
24,Villanova,south,10,100.0,54.27,13.7,3.8,0.91,0.23,0.1,999.0
25,Nebraska,east,5,100.0,52.4,23.54,9.63,2.96,0.54,0.09,1110.111111111111
26,Liberty,south,12,100.0,46.5,9.25,5.27,0.73,0.15,0.08,1249.0
27,George Washington,east,8,100.0,40.63,21.59,9.35,3.52,0.72,0.07,1427.5714285714284
28,Michigan,EliteEight,9,100.0,76.34,30.72,9.69,3.29,0.73,0.06,1665.6666666666667
29,Alabama,midwest,5,100.0,57.69,13.0,7.9,2.72,0.52,0.06,1665.6666666666667
30,Oklahoma St.,midwest,6,100.0,50.95,27.87,8.73,2.03,0.41,0.05,1999.0
31,Tennessee,west,6,100.0,46.23,25.68,5.12,1.03,0.35,0.04,2499.0
32,Baylor,midwest,7,100.0,22.12,14.94,7.14,1.65,0.22,0.04,2499.0
33,Texas Tech,midwest,11,100.0,49.05,23.21,5.54,1.63,0.21,0.04,2499.0
34,Auburn,west,9,100.0,34.21,11.49,5.34,1.95,0.3,0.03,3332.3333333333335
35,Ohio St.,west,5,100.0,50.92,19.2,4.09,0.71,0.16,0.03,3332.3333333333335
36,Northern Iowa,east,12,100.0,47.6,14.28,4.16,1.44,0.07,0.03,3332.3333333333335
37,Utah St.,east,10,100.0,32.87,19.01,6.14,2.06,0.22,0.02,4999.0
38,Mississippi,south,9,100.0,56.76,26.11,7.44,0.98,0.21,0.02,4999.0
39,Purdue,FinalFour,8,100.0,64.24,33.07,8.03,2.13,0.2,0.02,4999.0
40,SMU,south,7,100.0,45.73,7.98,0.71,0.22,0.07,0.02,4999.0
41,Michigan St.,EliteEight,12,100.0,68.04,10.73,5.32,1.89,0.18,0.01,9999.0
42,UCLA,west,7,100.0,39.65,5.67,1.85,0.48,0.11,0.01,9999.0
43,Arkansas,east,11,100.0,36.03,11.77,3.0,0.79,0.16,0.0,0.0
