,away_team_x,home_team_x,commence_time,DraftKings,BetMGM spreads,Caesars spreads,FanDuel,BetOnline.ag spreads,BetRivers spreads,AWAY_x,HOME_x,date_x,match,teams,muid,Date,conmatch,matchup,prediction,ttq,Div1,HomeAway,Tm,Date_zero,tm_oe,tm_de,tm_Bart,tm_winpercent,tm_proScore,opp,opp_oe,opp_de,opp_Bart,opp_winpercent,opp_proScore,tpro,tm_qual,gp,result,tempo,possessions,tm_pts,opp_pts,winner,loser,tm_adjt,opp_adjt,tm_adjo,tm_adjd,opp_adjo,opp_adjd,gamevalue,mismatch,blowout,tm_elite,opp_elite,ord_date,tm_ppp,opp_ppp,gameppp,tm_rk,opp_rk,tm_gs,opp_gs,gamestats,AWAY_y,HOME_y,VegasSpread,VegasTotal,Reg_dif,Over_dif,Daily_Reg_Tm_net_eff,Daily_Reg_Opp_net_eff,LeagueTempo,LeagueOE,DateNew,Pomeroy_Tm_AdjEM,Pomeroy_Tm_AdjOE,Pomeroy_Tm_AdjDE,Pomeroy_Tm_AdjT,Pomeroy_Opp_AdjEM,Pomeroy_Opp_AdjOE,Pomeroy_Opp_AdjDE,Pomeroy_Opp_AdjT,tm_ptdiff,tm_offensive_rating,tm_defensive_rating,opp_offensive_rating,opp_defensive_rating,Team,TRank_Tm_AdjEM,TRank_Tm_AdjOE,TRank_Tm_AdjDE,TRank_Tm_AdjT,TRank_Opp_AdjEM,TRank_Opp_AdjOE,TRank_Opp_AdjDE,TRank_Opp_AdjT,Team_y,MG_Tm_AdjT,MG_ATS_Tm_net_eff,MG_Tm_AdjEM,MG_Tm_AdjOE,MG_Tm_AdjDE,MG_Opp_AdjT,MG_ATS_Opp_net_eff,MG_Opp_AdjEM,MG_Opp_AdjOE,MG_Opp_AdjDE,Pomeroy_Tm_Score,Pomeroy_Opp_Score,Pomeroy_OverUnder,Pomeroy_PointDiff,Pomeroy_GameTempo,TRank_Tm_Score,TRank_Opp_Score,TRank_OverUnder,TRank_PointDiff,TRank_GameTempo,MG_Tm_Score,MG_Opp_Score,MG_OverUnder,MG_PointDiff,MG_GameTempo,MG_ATS_PointDiff,MG_ATS_GameTempo,Daily_Reg_PointDiff,Daily_Reg_GameTempo,away_team_y,home_team_y,date_y,VegasImpliedWinPercent,MG_ATS_ImpliedWinPercent,Dif_from_Vegas
0,USC Trojans,Oregon Ducks,2023-12-28 20:00:00-06:00,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,USC,Oregon,12/28/2023,True,USC vs Oregon,USCOregon12-28,2023-12-28 00:00:00,P12 at P12,44 USC at 50 Oregon,"Oregon -3.5, 77-74 (63%)",73.03984190987326,1,H,USC,12/28/2023,111.68765924200166,99.63624681334235,0.788026801960393,0.3683908770088029,73.91750618047888,Oregon,113.14606586187044,96.3144989620695,0.864385019143873,0.6316091229911971,77.46531036548132,71.52137611671768,USC,0,,,,,,,,,,,,,,,,,0.5115255566177551,0.7655735351732845,738882,,,,44,50,,,,USC,Oregon,-3.547804185002434,151.3828165459602,-10.0,-5.1,-9.2,0.7,71.2,101.4,20231228,14.099999999999994,111.8,97.7,70.8,13.799999999999997,111.8,98.0,70.0,,,,,,USC,14.801400000000001,113.159,98.3576,70.7489,14.1109,111.694,97.5831,69.859,USC,70.02681297302749,3.864429190940308,9.424145585146023,112.62887250253912,103.20472691739312,68.43268345716874,12.388972214559116,12.727423245687243,111.68589979146199,98.9584765457747,73.11981066862573,77.09489589640448,150.2147065650302,-3.9750852277787487,69.6067415730337,73.49226784873687,77.32817936373523,150.82044721247212,-3.835911514998358,69.41639613904495,71.92279401800866,78.6654134496704,150.58820746767907,-6.742619431661737,67.3050944620442,-7.775145519811204,67.3050944620442,-8.46765393426979,67.3050944620442,Southern California Trojans,Oregon Ducks,12/28/2023,59.409638599828355,77.0498651643457,17.64022656451735
1,Oakland Golden Grizzlies,Cleveland St Vikings,2023-12-28 18:00:00-06:00,-1.5,-1.5,-1.5,-1.5,-1.5,-2.5,Oakland,Cleveland St.,12/28/2023,True,Oakland vs Cleveland St.,OaklandCleveland St.12-28,2023-12-28 00:00:00,Horz at Horz,117 Oakland at 183 Cleveland St.,"Oakland -0.7, 75-74 (53%)",60.63041931481504,1,H,Oakland,12/28/2023,108.65523212144043,106.35953781033012,0.5610878883210437,0.5263156545646921,74.30868310918768,Cleveland St.,106.07715987789224,104.79162443228242,0.534997275725931,0.4736843454353079,73.63099564145544,67.9278334051211,,0,,,,,,,,,,,,,,,,,0.8529703411975129,0.9047347939645118,738882,,,,117,183,,,,Oakland,Cleveland St.,0.6776874677322411,147.9396787506431,-16.3,-10.4,-13.6,2.7,71.2,101.4,20231228,1.1000000000000085,107.2,106.1,67.5,-0.29999999999999716,105.4,105.7,69.5,,,,,,Oakland,5.090999999999994,110.086,104.995,67.5888,-1.456000000000003,104.716,106.172,69.4511,Oakland,67.77059844388397,3.396633805010819,1.6589335960046205,109.8817655697754,108.22283197377078,68.32632223439911,-1.636546378546575,-1.2967519251891022,104.06645742843298,105.36320935362208,71.58041819320856,74.71409384389045,146.29451203709903,-3.1336756506818944,65.88834269662921,73.88084194707338,73.50104069122945,147.38188263830284,0.37980125584392965,65.92860263595506,72.19046952351579,74.27061019097725,146.46107971449305,-2.080140667461464,65.03533352942252,1.4363306784945706,65.03533352942252,-12.322504785153804,65.03533352942252,Oakland Golden Grizzlies,Cleveland St Vikings,12/28/2023,55.67984968164682,44.55970511290543,-11.120144568741395
2,,,,,,,,,,,,,,Long Beach St. vs Cal St. Fullerton,Long Beach St.Cal St. Fullerton12-28,2023-12-28 00:00:00,BW at BW,143 Long Beach St. at 194 Cal St. Fullerton,"Cal St. Fullerton -0.7, 73-72 (53%)",59.86714584824905,1,H,Long Beach St.,12/28/2023,104.2657629171528,105.0556442194311,0.4783156907256292,0.4718130083613315,71.79812275463959,Cal St. Fullerton,100.99568971565772,100.76694401206308,0.5065186194879213,0.5281869916386684,72.50626029706888,71.12768773740493,,0,,,,,,,,,,,,,,,,,0.866716429529064,0.9297821170111256,738882,,,,143,194,,,,Long Beach St.,Cal St. Fullerton,-0.7081375424292844,144.30438305170847,-3.4,4.1,-5.9,-2.5,71.2,101.4,20231228,3.799999999999997,106.7,102.9,73.6,-3.5,99.1,102.6,66.4,,,,,,Long Beach St.,1.9320000000000022,105.639,103.707,73.8971,-2.3943999999999903,99.6996,102.094,66.5147,Long Beach St.,73.25702045772243,-3.1007901065046894,-1.3894490887714794,103.35342654193849,104.74287563070997,66.87461968016004,-9.256218934079822,-4.941296853270073,97.3725613228011,102.31385817607116,72.04329292508697,70.97295444544717,143.01624737053413,1.0703384796398012,68.638202247191,71.38474530358438,72.37765042126424,143.7623957248486,-0.9929051176798538,69.03431794058989,69.75989188051764,71.15896526962447,140.91885715014212,-1.3990733891068317,68.80667671365015,2.4277933274146903,68.80667671365015,-4.185097304431068,68.80667671365015,Long Beach St Beach,CSU Fullerton Titans,12/28/2023,,40.85725633557467,
3,UC Santa Barbara Gauchos,UC Davis Aggies,2023-12-28 20:00:00-06:00,2.0,2.5,2.0,2.5,2.0,2.5,UC Santa Barbara,UC Davis,12/28/2023,True,UC Santa Barbara vs UC Davis,UC Santa BarbaraUC Davis12-28,2023-12-28 00:00:00,BW at BW,149 UC Santa Barbara at 209 UC Davis,"UC Davis -0.5, 73-72 (52%)",58.70951918393404,1,H,UC Santa Barbara,12/28/2023,104.61980953824896,105.88654686385247,0.4654536690857779,0.4808294828420254,71.55625271278792,UC Davis,101.49778589909457,102.0436843020682,0.4845833462310984,0.5191705171579746,72.0352201278624,69.76425295604278,,0,,,,,,,,,,,,,,,,,0.8765324122604692,0.9330780240046294,738882,,,,149,209,,,,UC Santa Barbara,UC Davis,-0.4789674150744787,143.59147284065034,6.6,9.2,4.4,-2.2,71.2,101.4,20231228,2.299999999999997,107.0,104.7,70.5,-3.5999999999999943,101.0,104.6,69.1,,,,,,UC Santa Barbara,1.4699999999999989,105.998,104.528,69.4742,-3.193000000000012,100.195,103.388,69.393,UC Santa Barbara,70.4385480606478,1.2320978163685081,2.754872915914113,106.5373965251091,103.782523609195,68.99028102589949,-9.499171711244665,-4.42566325538811,100.51229567005744,104.93795892544554,73.4206978085654,73.36571952526685,146.78641733383225,0.0549782832985386,68.42064606741572,71.14475763584994,71.90777812075325,143.0525357566032,-0.7630204849033078,67.7109994466292,73.15918908937354,72.19376474454636,145.3529538339199,0.9654243448271842,68.25246103596095,5.492281383436023,68.25246103596095,2.572571761367442,68.25246103596095,UC Santa Barbara Gauchos,UC Davis Aggies,12/28/2023,40.590361400171645,30.04612337383421,-10.544238026337435
4,Portland St Vikings,Eastern Washington Eagles,2023-12-28 20:00:00-06:00,-3.0,-2.5,-3.0,-3.5,-3.0,-3.0,Portland St.,Eastern Washington,12/28/2023,True,Portland St. vs Eastern Washington,Portland St.Eastern Washington12-28,2023-12-28 00:00:00,BSky at BSky,158 Portland St. at 186 Eastern Washington,"Eastern Washington -2.1, 75-73 (58%)",55.93844357551701,1,H,Portland St.,12/28/2023,101.31067768406272,103.39343973537962,0.441760160967034,0.4174880340123538,72.85491535777628,Eastern Washington,105.7978548289872,104.89032323704096,0.5247478280843846,0.5825119659876462,74.9959929546084,71.35980066934628,,0,,,,,,,,,,,,,,,,,0.8580559781169836,0.9388070020656676,738882,,,,158,186,,,,Portland St.,Eastern Washington,-2.141077596832119,147.85090831238466,-0.6,-2.1,1.8,2.3,71.2,101.4,20231228,1.0,103.4,102.4,68.3,-0.9000000000000057,104.8,105.7,71.6,,,,,,Portland St.,0.578000000000003,102.645,102.067,68.9505,-1.8320000000000078,104.44,106.272,71.5192,Portland St.,68.7649699546733,6.769330197030017,2.773881436438655,101.72363965977537,98.94975822333672,71.30575729472677,-3.2833111400340096,-1.9233888189793145,102.83090036726281,104.75428918624212,71.97225886082536,74.73997128140223,146.7122301422276,-2.7677124205768706,68.68370786516853,72.43569008546149,74.86351981159736,147.29920989705886,-2.427829726135869,69.25961516292135,70.35928873466123,71.05394432302847,141.4132330576897,-0.6946555883672403,68.86711036470665,4.9610744256738,68.86711036470665,-2.312144363384661,68.86711036470665,Portland St Vikings,Eastern Washington Eagles,12/28/2023,63.055865981823636,31.829093715346534,-31.226772266477102
5,UCLA Bruins,Oregon St Beavers,2023-12-28 21:00:00-06:00,6.5,6.5,6.0,6.5,6.5,6.0,UCLA,Oregon St.,12/28/2023,True,UCLA vs Oregon St.,UCLAOregon St.12-28,2023-12-28 00:00:00,P12 at P12,99 UCLA at 217 Oregon St.,"UCLA -3.5, 64-61 (66%)",49.06775573928012,1,H,UCLA,12/28/2023,103.12014114400104,98.43797049074688,0.6305048808938967,0.656115792127576,64.19402687593765,Oregon St.,100.77102503654076,101.75413541423356,0.4721167277953526,0.343884207872424,60.6872390518775,63.67727455077666,,0,,,,,,,,,,,,,,,,,0.8818386213742322,0.8767678431635163,738882,,,,99,217,,,,UCLA,Oregon St.,3.5067878240601544,124.88126592781515,-11.8,-15.9,-14.0,-2.2,71.2,101.4,20231228,9.099999999999994,105.3,96.2,66.2,-2.0999999999999943,100.9,103.0,66.8,,,,,,UCLA,7.303299999999993,104.478,97.1747,66.1056,-3.616199999999992,99.4778,103.094,66.566,UCLA,66.36521951215222,-4.777856084607863,2.7333495816798776,102.60481770602497,99.87146812434509,66.91654179746604,-5.862479245369619,-3.956779788623528,98.76076887675072,102.71754866537425,64.58563428264996,61.13059903115057,125.71623331380053,3.455035251499396,62.108988764044945,63.824119792298376,60.579830525220935,124.4039503175193,3.2442892670774413,61.80316530337078,63.02637148265748,62.38179711177161,125.4081685944291,0.64457437088587,62.372626199198635,-0.977012391701777,62.372626199198635,-8.964942308863222,62.372626199198635,UCLA Bruins,Oregon St Beavers,12/28/2023,26.794249453351902,53.70676034043087,26.912510887078966
6,Montana Grizzlies,Weber State Wildcats,2023-12-28 20:00:00-06:00,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,Montana,Weber St.,12/28/2023,True,Montana vs Weber St.,MontanaWeber St.12-28,2023-12-28 00:00:00,BSky at BSky,138 Montana at 127 Weber St.,"Weber St. -4.2, 68-63 (68%)",49.026096882136535,1,H,Montana,12/28/2023,105.69727254582604,105.701595027496,0.4998824295066811,0.321473489618132,63.26024296828543,Weber St.,105.64736828783558,99.0069916103057,0.6784239199682629,0.6785265103818681,67.50585378144079,62.91969734733475,,0,,,,,,,,,,,,,,,,,0.7598341854601541,0.9239330583662309,738882,,,,138,127,,,,Montana,Weber St.,-4.245610813155359,130.76609674972622,19.8,11.9,23.9,4.1,71.2,101.4,20231228,2.799999999999997,107.3,104.5,67.6,4.700000000000003,106.0,101.3,64.0,,,,,,Montana,2.7439999999999998,107.089,104.345,66.9764,3.9809999999999945,104.292,100.311,64.9189,Montana,68.30858547015939,13.715625523392436,8.324432755725585,107.51280735639688,99.18837460067131,64.29436898823167,8.061491146838176,4.781494757825952,105.76531952975346,100.9838247719275,63.32449258450934,68.25064924044942,131.57514182495876,-4.926156655940076,60.76404494382022,62.89588857827566,67.38660139727695,130.2824899755526,-4.490712819001288,61.067896263483135,64.20903301496236,65.61607541658525,129.82510843154762,-1.4070424016228884,61.683390439362185,1.5724667565241504,61.683390439362185,10.244377484169263,61.683390439362185,Montana Grizzlies,Weber St Wildcats,12/28/2023,66.58824291023754,44.047748194061974,-22.540494716175566
7,Arkansas-Little Rock Trojans,Tennessee Tech Golden Eagles,2023-12-28 19:30:00-06:00,1.5,1.5,1.5,1.5,1.5,1.5,Little Rock,Tennessee Tech,12/28/2023,True,Little Rock vs Tennessee Tech,Little RockTennessee Tech12-28,2023-12-28 00:00:00,OVC at OVC,260 Little Rock at 306 Tennessee Tech,"Tennessee Tech -0.5, 79-78 (52%)",47.66480221037301,1,H,Little Rock,12/28/2023,104.45456827046574,114.96824555972982,0.2491982214666755,0.4798963760030573,77.95504461123895,Tennessee Tech,99.4554918314972,108.7028084344617,0.2645533338831313,0.5201036239969427,78.50235670350418,71.45974068272069,,0,,,,,,,,,,,,,,,,,0.9488624115550712,0.9733887271601,738882,,,,260,306,,,,Little Rock,Tennessee Tech,-0.5473120922652299,156.45740131474312,-5.2,-3.9,-5.9,-0.7,71.2,101.4,20231228,-7.400000000000006,104.6,112.0,72.6,-13.700000000000003,96.6,110.3,68.0,,,,,,Little Rock,-7.662999999999997,105.83,113.493,72.4191,-11.95580000000001,98.1792,110.135,68.189,Little Rock,72.0657894066048,-7.4262833355703375,-6.594193478044541,104.71450529848745,111.308698776532,68.26036587586114,-15.046098959163102,-13.315263601405125,95.33836385691951,108.65362745832464,76.6988074931499,76.0674125447191,152.766220037869,0.6313949484307955,69.33707865168539,77.50638445973506,78.3635263795789,155.86991083931395,-0.8571419198438406,69.35654508286517,75.36760534349938,74.3451293998112,149.7127347433106,1.0224759436881783,69.0904094385899,3.547398001657889,69.0904094385899,-5.463393216765937,69.0904094385899,Little Rock Trojans,Tennessee Tech Golden Eagles,12/28/2023,44.32015031835318,36.77390830874469,-7.546242009608491
8,Tenn-Martin Skyhawks,Tennessee St Tigers,2023-12-28 19:30:00-06:00,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,Tennessee Martin,Tennessee St.,12/28/2023,True,Tennessee Martin vs Tennessee St.,Tennessee MartinTennessee St.12-28,2023-12-28 00:00:00,OVC at OVC,253 Tennessee Martin at 232 Tennessee St.,"Tennessee St. -5.7, 85-79 (69%)",44.59064688798625,1,H,Tennessee Martin,12/28/2023,102.70279507748673,112.12819748920434,0.2670306768705881,0.3094656642374581,78.94294591759117,Tennessee St.,104.06331011392363,105.95453131077204,0.4484038837746575,0.6905343357625419,84.64942411788893,75.50869169848566,,0,,,,,,,,,,,,,,,,,0.8914298842711726,0.9708663761788316,738882,,,,253,232,,,,Tennessee Martin,Tennessee St.,-5.706478200297752,163.5923700354801,-4.7,-1.7,-2.3,2.4,71.2,101.4,20231228,-6.599999999999994,104.4,111.0,75.5,-6.200000000000003,101.2,107.4,69.7,,,,,,Tennessee Martin,-6.632999999999996,104.056,110.689,74.8318,-4.622,102.728,107.35,69.7295,Tennessee Martin,75.124383482685,-2.279028612511918,-4.649711111824668,106.40350603355051,111.05321714537517,69.85361741755388,-6.132476896971239,-6.117042658547625,100.6717937435901,106.78883640213773,79.45484614015405,84.18625342735955,163.6410995675136,-4.731407287205499,73.90941011235955,78.4888200407818,84.49947315061469,162.9882931913965,-6.010653109832887,73.28629210814607,80.29481395382156,83.5539016699756,163.84871562379715,-3.259087716154042,73.70379132765565,0.863225703877788,73.70379132765565,-5.528816202652763,73.70379132765565,Tenn-Martin Skyhawks,Tennessee St Tigers,12/28/2023,66.58824291023754,46.72390767777647,-19.864335232461073
9,Montana St Bobcats,Idaho State Bengals,2023-12-28 20:00:00-06:00,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,Montana St.,Idaho St.,12/28/2023,True,Montana St. vs Idaho St.,Montana St.Idaho St.12-28,2023-12-28 00:00:00,BSky at BSky,249 Montana St. at 282 Idaho St.,"Idaho St. -1.4, 64-63 (56%)",42.8486629403598,1,H,Montana St.,12/28/2023,95.61480536998688,104.2215223575122,0.2706758553881683,0.4371109506841441,62.989929194595305,Idaho St.,100.30964462163456,106.96074703779216,0.3233758252497304,0.5628890493158558,64.39047839564375,64.10722260644683,,0,,,,,,,,,,,,,,,,,0.9331808706012436,0.9703372560675902,738882,,,,249,282,,,,Montana St.,Idaho St.,-1.4005492010484488,127.38040759023906,4.9,6.5,-0.9,-5.8,71.2,101.4,20231228,-8.100000000000009,97.6,105.7,66.5,-9.400000000000006,100.1,109.5,66.0,,,,,,Montana St.,-6.0097999999999985,96.8742,102.884,67.1099,-9.3476,99.0224,108.37,66.0126,Montana St.,66.95292912237518,-2.2387099009112017,-3.4676802911114453,98.9953471800273,102.46302747113874,66.10352631151714,-7.755755832449209,-7.457740568121452,102.61000329622013,110.0677438643416,63.16338538172993,66.13519021660112,129.29857559833104,-2.971804834871186,61.64325842696629,62.62770738469786,64.27656805578016,126.90427544047802,-1.6488606710823035,62.22049135870786,64.93890155163183,66.2687923212917,131.20769387292353,-1.329890769659869,62.16045943643357,1.7759047155959777,62.16045943643357,1.3636761591164799,62.16045943643357,Montana St Bobcats,Idaho State Bengals,12/28/2023,55.67984968164682,43.284570657872855,-12.395279023773966
