,Team,Region,Rank,Make,2nd Round,Sweet 16,Elite 8,Final 4,Championship,Win,Odds
0,Michigan,FinalFour,16,100.0,89.82,77.56,70.16,58.09,45.01,33.53,1.9824038174768863
1,Duke,FinalFour,1,100.0,80.61,59.88,39.72,27.43,13.54,7.86,11.72264631043257
2,Louisville,SweetSixteen,2,100.0,77.58,62.31,42.28,26.06,14.86,6.97,13.347202295552368
3,Connecticut,EliteEight,12,100.0,71.27,49.37,33.78,20.82,13.03,6.47,14.45595054095827
4,Arizona,FinalFour,9,100.0,72.69,45.01,31.02,17.79,9.41,4.27,22.419203747072604
5,Vanderbilt,EliteEight,9,100.0,67.38,46.86,32.21,11.61,7.45,3.96,24.252525252525253
6,Tennessee,SweetSixteen,3,100.0,72.79,46.0,27.88,16.93,9.36,3.7,26.027027027027025
7,Indiana,midwest,5,100.0,60.37,35.36,22.87,12.36,6.74,2.84,34.2112676056338
8,Purdue,FinalFour,8,100.0,67.98,43.6,23.32,12.86,6.54,2.65,36.735849056603776
9,Gonzaga,SweetSixteen,8,100.0,68.82,42.1,28.11,14.67,4.8,2.42,40.32231404958678
10,Alabama,SweetSixteen,9,100.0,66.14,40.35,20.4,10.68,4.16,2.18,44.871559633027516
11,St. John's,south,10,100.0,60.23,35.18,16.99,10.09,5.28,2.09,46.84688995215311
12,Houston,SweetSixteen,14,100.0,60.73,34.71,18.94,10.64,5.27,1.99,49.25125628140704
13,Iowa St.,EliteEight,16,100.0,68.36,41.78,22.65,10.83,3.87,1.95,50.282051282051285
14,Santa Clara,south,9,100.0,61.1,34.15,21.68,10.87,4.99,1.92,51.083333333333336
15,Illinois,east,8,100.0,60.88,15.06,11.02,6.86,4.02,1.86,52.76344086021505
16,Michigan St.,EliteEight,13,100.0,68.21,34.25,16.28,9.11,4.6,1.76,55.81818181818181
17,Kansas,SweetSixteen,15,100.0,65.93,36.99,18.31,9.55,4.43,1.6,61.5
18,Florida,midwest,9,100.0,57.68,31.79,16.59,8.12,3.59,1.31,75.33587786259541
19,Iowa,east,6,100.0,71.88,37.29,18.17,6.02,2.24,1.05,94.23809523809524
20,Clemson,east,7,100.0,55.88,27.45,16.01,4.09,2.15,0.94,105.38297872340426
21,BYU,SweetSixteen,4,100.0,64.71,38.51,20.52,4.54,2.08,0.79,125.58227848101265
22,LSU,midwest,10,100.0,48.63,22.98,9.58,4.01,1.78,0.57,174.4385964912281
23,Auburn,west,6,100.0,59.02,28.07,15.23,5.92,1.71,0.54,184.18518518518516
24,Virginia,south,7,100.0,39.77,20.9,10.03,4.37,1.67,0.41,242.90243902439028
25,Oklahoma St.,west,7,100.0,57.27,27.23,10.22,4.39,1.28,0.37,269.27027027027026
26,Utah St.,south,5,100.0,50.35,21.57,9.92,2.7,0.98,0.36,276.77777777777777
27,Texas Tech,west,8,100.0,53.63,22.08,9.51,4.04,0.88,0.36,276.77777777777777
28,North Carolina,west,5,100.0,59.81,29.58,12.3,6.7,1.27,0.33,302.030303030303
29,Akron,midwest,12,100.0,39.63,17.61,7.89,3.05,1.1,0.29,343.82758620689657
30,George Mason,west,10,100.0,42.73,23.15,9.54,3.54,0.74,0.29,343.82758620689657
31,N.C. State,east,12,100.0,52.8,25.37,3.84,1.56,0.71,0.28,356.1428571428571
32,Saint Louis,midwest,11,100.0,47.67,18.96,8.51,2.98,0.92,0.26,383.6153846153846
33,USC,SweetSixteen,13,100.0,50.58,24.29,4.84,2.13,0.72,0.18,554.5555555555555
34,Baylor,west,11,100.0,40.98,18.67,8.12,3.72,0.68,0.18,554.5555555555555
35,Kansas St.,south,11,100.0,60.49,17.69,5.8,1.63,0.68,0.15,665.6666666666666
36,Saint Mary's,midwest,7,100.0,51.37,19.05,7.14,2.44,0.83,0.13,768.2307692307693
37,Nebraska,midwest,6,100.0,52.33,26.01,8.69,2.25,0.88,0.12,832.3333333333334
38,UC San Diego,west,13,100.0,33.86,17.14,5.67,2.67,0.54,0.12,832.3333333333334
39,Belmont,south,13,100.0,34.07,16.69,4.51,1.72,0.48,0.12,832.3333333333334
40,Missouri,south,12,100.0,49.65,24.75,7.29,1.91,0.68,0.11,908.0909090909091
41,East Tennessee St.,midwest,15,100.0,28.73,8.6,2.25,0.68,0.33,0.11,908.0909090909091
42,Butler,east,5,100.0,47.2,29.26,4.5,1.96,0.48,0.1,999.0
43,UCF,east,10,100.0,44.12,13.76,4.49,0.67,0.25,0.1,999.0
44,Colorado,midwest,8,100.0,42.32,17.31,5.94,1.52,0.54,0.09,1110.111111111111
45,Tulsa,east,9,100.0,39.12,6.09,3.62,1.34,0.42,0.08,1249.0
46,High Point,east,13,100.0,49.42,21.08,1.9,0.6,0.21,0.06,1665.6666666666667
47,Austin Peay,west,14,100.0,31.18,11.16,4.79,1.57,0.32,0.05,1999.0
48,SMU,south,6,100.0,39.51,10.45,4.15,1.45,0.34,0.04,2499.0
49,Yale,south,8,100.0,38.9,13.96,5.88,1.68,0.38,0.02,4999.0
50,Cal Baptist,west,12,100.0,40.19,12.93,5.2,1.69,0.25,0.02,4999.0
51,LIU,south,16,100.0,27.31,6.88,1.39,0.16,0.02,0.02,4999.0
52,Seton Hall,west,9,100.0,46.37,12.06,5.45,1.28,0.16,0.01,9999.0
53,South Alabama,midwest,14,100.0,27.21,9.03,2.17,0.5,0.11,0.01,9999.0
54,Northern Colorado,south,15,100.0,31.79,9.67,2.35,0.73,0.07,0.01,9999.0
55,New Mexico St.,midwest,13,100.0,39.27,12.32,2.98,0.61,0.1,0.0,0.0
56,UNC Wilmington,east,14,100.0,35.29,13.4,2.79,0.24,0.05,0.0,0.0
57,Siena,west,15,100.0,31.64,7.84,1.34,0.26,0.01,0.0,0.0
58,Robert Morris,midwest,16,100.0,32.02,7.3,1.47,0.23,0.01,0.0,0.0
59,Norfolk St.,west,16,100.0,19.39,5.98,1.75,0.61,0.0,0.0,0.0
60,McNeese St.,east,11,100.0,28.12,10.8,2.8,0.24,0.0,0.0,0.0
61,St. Thomas,south,14,100.0,22.42,9.55,2.12,0.18,0.0,0.0,0.0
62,Tennessee St.,east,15,100.0,32.62,11.93,3.01,0.04,0.0,0.0,0.0
63,Southern,east,16,100.0,10.18,1.29,0.12,0.01,0.0,0.0,0.0
