,Team,Region,Rank,Make,2nd Round,Sweet 16,Elite 8,Final 4,Championship,Win,Odds
0,Michigan,FinalFour,16,100.0,83.9,64.62,48.8,37.49,25.02,16.33,5.123698714023271
1,Duke,FinalFour,1,100.0,76.15,57.79,40.73,26.07,14.88,8.74,10.441647597254004
2,Arizona,FinalFour,9,100.0,79.4,50.52,33.7,20.11,11.88,6.72,13.880952380952381
3,Illinois,EliteEight,12,100.0,77.67,53.01,33.33,19.45,10.82,6.32,14.822784810126583
4,Purdue,SweetSixteen,8,100.0,76.31,50.37,31.43,18.58,10.87,5.96,15.778523489932887
5,Iowa St.,EliteEight,13,100.0,71.78,48.71,29.43,17.36,11.07,5.93,15.863406408094434
6,Houston,SweetSixteen,3,100.0,74.09,44.11,26.64,16.86,10.11,5.68,16.6056338028169
7,Connecticut,FinalFour,8,100.0,72.03,44.73,29.52,16.39,8.32,4.34,22.04147465437788
8,Florida,SweetSixteen,14,100.0,70.12,49.41,27.74,15.61,7.68,3.69,26.100271002710027
9,Gonzaga,EliteEight,16,100.0,69.94,43.15,24.63,13.31,6.62,3.33,29.03003003003003
10,Vanderbilt,SweetSixteen,2,100.0,67.25,35.45,20.17,12.34,6.32,3.33,29.03003003003003
11,Kansas,SweetSixteen,15,100.0,65.64,43.88,24.35,11.88,6.79,2.99,32.44481605351171
12,Louisville,south,6,100.0,69.33,41.52,22.09,11.98,6.29,2.71,35.90036900369004
13,Michigan St.,SweetSixteen,4,100.0,63.96,39.26,24.73,11.4,5.78,2.6,37.46153846153846
14,Nebraska,EliteEight,9,100.0,68.04,36.61,18.99,7.71,3.75,1.87,52.475935828877
15,Texas Tech,SweetSixteen,9,100.0,69.2,43.5,20.6,10.75,4.36,1.76,55.81818181818181
16,Tennessee,west,5,100.0,56.79,28.51,13.88,7.37,3.45,1.74,56.4712643678161
17,Saint Louis,east,7,100.0,54.51,29.34,15.63,6.47,3.09,1.46,67.4931506849315
18,Virginia,SweetSixteen,13,100.0,68.32,40.59,14.01,7.1,3.36,1.24,79.64516129032259
19,Alabama,east,5,100.0,52.36,30.92,10.72,6.6,2.89,1.19,83.03361344537815
20,Iowa,south,7,100.0,50.89,25.63,13.42,6.62,3.09,1.18,83.7457627118644
21,Indiana,midwest,9,100.0,48.86,25.43,12.31,5.83,2.53,1.0,99.0
22,BYU,south,5,100.0,51.11,27.06,12.2,4.82,2.2,0.87,113.94252873563218
23,St. John's,west,7,100.0,51.09,26.5,12.91,6.12,2.08,0.83,119.48192771084338
24,Arkansas,east,6,100.0,57.2,26.34,13.63,5.17,1.94,0.72,137.88888888888889
25,Clemson,east,8,100.0,62.44,20.6,11.82,4.97,1.82,0.7,141.85714285714286
26,Utah St.,south,8,100.0,52.57,28.17,14.1,5.72,2.03,0.69,143.92753623188406
27,Texas A&M,west,6,100.0,58.59,29.95,13.69,5.11,1.88,0.63,157.73015873015873
28,N.C. State,midwest,8,100.0,51.14,24.16,11.02,4.67,1.46,0.59,168.4915254237288
29,Saint Mary's,midwest,11,100.0,52.8,26.83,12.15,4.88,1.66,0.56,177.57142857142856
30,North Carolina,midwest,5,100.0,57.67,26.63,11.03,5.37,1.54,0.53,187.67924528301884
31,Wisconsin,west,9,100.0,57.9,25.28,10.93,4.23,1.73,0.51,195.078431372549
32,SMU,south,9,100.0,47.43,16.88,8.02,3.2,1.23,0.46,216.3913043478261
33,Villanova,east,9,100.0,37.56,11.54,6.45,3.77,1.25,0.36,276.77777777777777
34,UCLA,west,10,100.0,48.91,23.69,9.32,3.11,0.99,0.33,302.030303030303
35,Auburn,midwest,7,100.0,53.2,22.05,9.46,3.06,0.95,0.31,321.5806451612903
36,Texas,east,11,100.0,42.8,19.39,9.0,2.7,0.87,0.29,343.82758620689657
37,Miami FL,east,10,100.0,45.49,23.26,10.59,3.36,1.26,0.28,356.1428571428571
38,Kentucky,midwest,6,100.0,47.2,21.8,7.71,3.47,1.04,0.25,399.0
39,New Mexico,south,11,100.0,30.67,13.22,5.86,1.99,0.67,0.15,665.6666666666666
40,Georgia,midwest,10,100.0,46.8,17.08,6.79,1.99,0.53,0.14,713.2857142857142
41,Tulsa,south,12,100.0,48.89,15.46,4.13,1.53,0.53,0.13,768.2307692307693
42,California,south,10,100.0,49.11,18.14,5.85,1.61,0.39,0.1,999.0
43,UCF,west,8,100.0,42.1,12.19,6.28,1.53,0.46,0.09,1110.111111111111
44,Virginia Tech,west,11,100.0,41.41,12.63,5.0,1.27,0.33,0.08,1249.0
45,Belmont,west,12,100.0,43.21,16.09,4.86,1.32,0.35,0.07,1427.5714285714284
46,Stephen F. Austin,midwest,13,100.0,29.88,11.63,3.6,0.9,0.44,0.06,1665.6666666666667
47,Liberty,east,12,100.0,47.64,17.2,5.26,1.71,0.49,0.05,1999.0
48,Hawaii,east,14,100.0,36.04,15.01,4.88,0.91,0.2,0.05,1999.0
49,Yale,midwest,12,100.0,42.33,12.33,3.43,0.84,0.25,0.03,3332.3333333333335
50,Cal Baptist,south,13,100.0,34.36,13.6,2.7,0.27,0.14,0.02,4999.0
