,Team,Region,Rank,Make,2nd Round,Sweet 16,Elite 8,Final 4,Championship,Win,Odds
0,Michigan,FinalFour,16,100.0,82.95,66.62,53.65,42.43,30.71,22.49,3.4464206313917303
1,Connecticut,FinalFour,8,100.0,81.27,55.13,37.82,24.64,14.47,7.45,12.422818791946309
2,Arizona,FinalFour,9,100.0,80.97,59.51,36.11,21.78,13.26,6.64,14.060240963855422
3,Illinois,SweetSixteen,8,100.0,73.16,46.33,29.58,19.79,9.38,5.45,17.34862385321101
4,Vanderbilt,SweetSixteen,2,100.0,81.2,54.54,33.09,18.95,11.06,5.3,17.867924528301888
5,Houston,SweetSixteen,4,100.0,72.02,47.01,28.09,13.68,8.36,4.64,20.551724137931036
6,Purdue,EliteEight,9,100.0,62.05,42.65,28.06,12.78,7.7,4.5,21.22222222222222
7,Alabama,SweetSixteen,15,100.0,69.3,44.71,26.97,15.03,8.57,3.74,25.737967914438503
8,Gonzaga,EliteEight,16,100.0,69.76,43.77,23.33,14.32,7.1,3.58,26.932960893854748
9,Iowa St.,EliteEight,13,100.0,68.32,40.68,23.47,13.4,7.68,3.31,29.211480362537763
10,Duke,FinalFour,1,100.0,71.53,46.35,27.92,15.21,6.51,3.26,29.67484662576687
11,Virginia,SweetSixteen,14,100.0,62.82,41.25,20.0,11.17,5.85,2.65,36.735849056603776
12,Kansas,SweetSixteen,13,100.0,73.08,48.42,17.59,8.68,5.2,2.48,39.32258064516129
13,BYU,SweetSixteen,3,100.0,57.15,35.58,18.45,9.67,5.11,2.41,40.49377593360996
14,Florida,east,5,100.0,63.92,33.68,12.25,6.88,3.99,2.21,44.248868778280546
15,Michigan St.,SweetSixteen,9,100.0,67.65,40.49,22.99,10.64,4.3,2.04,48.01960784313725
16,Iowa,midwest,10,100.0,49.1,31.19,16.73,8.6,3.93,2.02,48.504950495049506
17,Louisville,south,7,100.0,58.45,30.97,16.26,8.73,4.27,1.87,52.475935828877
18,Arkansas,south,5,100.0,63.94,30.95,15.75,7.66,3.61,1.23,80.30081300813008
19,Clemson,midwest,5,100.0,66.7,32.02,15.69,8.67,3.36,1.17,84.47008547008548
20,Nebraska,EliteEight,12,100.0,70.26,35.37,19.67,8.43,3.19,1.16,85.20689655172414
21,Texas Tech,west,5,100.0,60.86,31.05,17.91,7.86,2.64,1.03,96.08737864077669
22,Tennessee,west,6,100.0,51.47,22.51,11.86,5.95,1.95,0.91,108.89010989010988
23,North Carolina,midwest,6,100.0,55.73,28.01,14.3,6.74,2.85,0.8,124.0
24,Saint Louis,midwest,7,100.0,50.9,29.78,16.83,7.0,2.66,0.76,130.57894736842104
25,Utah St.,east,6,100.0,56.25,28.57,14.92,3.92,1.81,0.73,135.986301369863
26,St. John's,west,7,100.0,58.15,31.34,14.42,6.07,1.7,0.67,148.25373134328356
27,Kentucky,midwest,8,100.0,52.8,22.73,9.52,4.31,1.68,0.63,157.73015873015873
28,Villanova,south,6,100.0,51.52,20.56,10.14,3.63,1.51,0.53,187.67924528301884
29,N.C. State,south,10,100.0,41.55,19.59,9.31,3.35,1.53,0.49,203.08163265306123
30,Georgia,midwest,9,100.0,47.2,18.93,9.17,4.24,1.3,0.46,216.3913043478261
31,Auburn,west,11,100.0,48.53,23.94,9.47,3.75,1.11,0.45,221.2222222222222
32,Saint Mary's,west,8,100.0,53.78,22.79,10.23,5.03,1.33,0.42,237.0952380952381
33,Texas A&M,west,10,100.0,41.85,18.86,8.67,4.52,0.93,0.34,293.1176470588235
