muid,Date,conmatch,matchup,prediction,ttq,Div1,HomeAway,Tm,Date_zero,tm_oe,tm_de,tm_Bart,tm_winpercent,tm_proScore,opp,opp_oe,opp_de,opp_Bart,opp_winpercent,opp_proScore,tpro,tm_qual,gp,result,tempo,possessions,tm_pts,opp_pts,winner,loser,tm_adjt,opp_adjt,tm_adjo,tm_adjd,opp_adjo,opp_adjd,gamevalue,mismatch,blowout,tm_elite,opp_elite,ord_date,tm_ppp,opp_ppp,gameppp,tm_rk,opp_rk,tm_gs,opp_gs,gamestats,AWAY,HOME,VegasSpread,VegasTotal,Reg_dif,Over_dif,Daily_Reg_Tm_net_eff,Daily_Reg_Opp_net_eff,LeagueTempo,LeagueOE,DateNew,Pomeroy_Tm_AdjEM,Pomeroy_Tm_AdjOE,Pomeroy_Tm_AdjDE,Pomeroy_Tm_AdjT,Pomeroy_Opp_AdjEM,Pomeroy_Opp_AdjOE,Pomeroy_Opp_AdjDE,Pomeroy_Opp_AdjT,tm_ptdiff,tm_offensive_rating,tm_defensive_rating,opp_offensive_rating,opp_defensive_rating,Tm_TeamID,Opp_TeamID,TeamID,TRank_Tm_AdjEM,TRank_Tm_AdjOE,TRank_Tm_AdjDE,TRank_Tm_AdjT,Team_Opp,TeamID_Opp,TRank_Opp_AdjEM,TRank_Opp_AdjOE,TRank_Opp_AdjDE,TRank_Opp_AdjT,Team,MG_Tm_AdjT,MG_ATS_Tm_net_eff,MG_Tm_AdjEM,MG_Tm_AdjOE,MG_Tm_AdjDE,TeamID_y,Team_Standardized_Tm,Tm_y,MG_Opp_AdjT,MG_ATS_Opp_net_eff,MG_Opp_AdjEM,MG_Opp_AdjOE,MG_Opp_AdjDE,Team_Standardized_Opp,Pomeroy_Tm_Score,Pomeroy_Opp_Score,Pomeroy_OverUnder,Pomeroy_PointDiff,Pomeroy_GameTempo,TRank_Tm_Score,TRank_Opp_Score,TRank_OverUnder,TRank_PointDiff,TRank_GameTempo,MG_Tm_Score,MG_Opp_Score,MG_OverUnder,MG_PointDiff,MG_GameTempo,MG_ATS_PointDiff,MG_ATS_GameTempo,Daily_Reg_PointDiff,Daily_Reg_GameTempo,away_team,home_team,date,commence_time,DraftKings,BetMGM spreads,FanDuel,VegasImpliedWinPercent,MG_ATS_ImpliedWinPercent,Dif_from_Vegas,Pt_Spread_Difference,Total_Diff,Pomeroy_PointDiffSelection,MG_ATS_PointDiffSelection,Both
Nebraska OmahaColorado St.11-9,2025-11-09,Sum at MWC,156 Nebraska Omaha at 82 Colorado St.,"Colorado St. -11.3, 78-67 (84%)",40.59473484068546,0,H,Nebraska Omaha,11/09/2025,106.2492459087592,109.6612870542244,0.4101125778583491,0.1573586004998684,67.17798463302297,Colorado St.,111.45277805195109,99.41424406475096,0.7882675635188862,0.8426413995001315,78.4539636906508,67.62551468273281,,0,,,,,,,,,,,,,,,,,0.641940086163828,0.9458361470840532,739564,,,,156,82,,,,Nebraska Omaha,Colorado St.,-11.275979057627822,145.63194832367378,0.0,0.0,0.0,0.0,71.2,101.4,20251109,-3.5999999999999943,105.5,109.1,72.2,12.700000000000003,114.8,102.1,70.5,,,,,,532,160,532,-0.605000000000004,107.649,108.254,71.2104,Colorado St.,160,9.298000000000002,110.022,100.724,68.2497,Nebraska Omaha,73.57531557707922,3.0521574135579232,2.7801717709436558,106.5033854141083,103.72321364316457,532,Nebraska Omaha,Nebraska Omaha,70.35376775794148,24.319247286380993,16.311326801402114,119.00942015829705,102.69809335689486,Colorado St.,73.83127995828676,90.79269648785393,164.6239764461407,-16.961416529567174,71.49016853932585,70.96153762791405,82.43765345024173,153.39919107815578,-11.476115822327671,68.25966905730338,76.23969833761417,90.99861007720679,167.23830841482095,-14.75891173959262,72.70085203408829,-17.7755688193799,72.70085203408829,-2.035623856954487,72.70085203408829,Nebraska Omaha,Colorado St.,11/09/2025,2025-11-09 17:00:00-06:00,13.5,13.5,13.5,9.927139684333097,95.47638254867064,85.54924286433754,-31.2755688193799,-31.2755688193799,Colorado St.,Colorado St.,1
Utah TechArizona St.11-9,2025-11-09,WAC at B12,270 Utah Tech at 74 Arizona St.,"Arizona St. -19.2, 85-66 (93%)",33.12447834415661,0,H,Utah Tech,11/09/2025,100.14109499892326,110.7946751762057,0.23818907624216,0.0703580132826947,65.953086049606,Arizona St.,112.1009922400072,99.09176418058834,0.8051140253161156,0.9296419867173052,85.12512540260066,71.540438749186,,0,,,,,,,,,,,,,,,,,0.6176863759059967,0.9748931993179476,739564,,,,270,74,,,,Utah Tech,Arizona St.,-19.17203935299466,151.07821145220666,0.0,0.0,0.0,0.0,71.2,101.4,20251109,-6.599999999999994,100.4,107.0,71.5,10.600000000000009,110.7,100.1,72.7,,,,,,935,31,935,-7.913000000000011,101.46,109.373,70.9916,Arizona St.,31,10.265,110.662,100.397,72.4233,Utah Tech,71.83852564390456,7.693329939380492,2.4198261229195364,105.38609502642515,102.96626890350554,935,Utah Tech,Utah Tech,72.84795130500615,4.719302332052353,7.3281151604563775,107.23614005608539,99.90802489562896,Arizona St.,70.34676396990821,87.6859098303792,158.0326738002874,-17.339145860470992,73.00632022471909,70.52396951503022,88.62410758695161,159.1480771019818,-18.100138071921393,72.21131944213482,74.19836242645029,82.29413104058253,156.49249346703283,-8.09576861413224,73.50125586981171,0.00018430846230899078,73.50125586981171,-2.0580351643547203,73.50125586981171,Utah Tech,Arizona St.,11/09/2025,2025-11-09 14:00:00-06:00,13.5,13.5,13.5,9.927139684333097,49.99929972915955,40.072160044826454,-13.499815691537691,-13.499815691537691,Arizona St.,Arizona St.,1
ManhattanUSC11-9,2025-11-09,MAAC at B10,208 Manhattan at 25 USC,"USC -24.6, 93-69 (96%)",41.43613601304633,0,H,Manhattan,11/09/2025,105.77899492038486,112.54250569880202,0.3289895618953042,0.040662167864518,68.77362307688527,USC,118.30879306405735,95.62289841543152,0.9204287315313254,0.959337832135482,93.42352603948696,73.24454065288816,Manhattan,0,,,,,,,,,,,,,,,,,0.3658927944868335,0.961183288135664,739564,,,,208,25,,,,Manhattan,USC,-24.649902962601686,162.19714911637223,0.0,0.0,0.0,0.0,71.2,101.4,20251109,-7.0,104.2,111.2,72.0,21.80000000000001,116.9,95.1,74.0,,,,,,427,768,427,-3.926000000000002,107.172,111.098,71.6087,USC,768,19.908599999999993,116.791,96.8824,73.5095,Manhattan,69.0,0.0,0.0,100.0,100.0,427,Manhattan,Manhattan,76.32533845193147,17.54140622955164,13.573193090403915,110.38031774343293,96.80712465302894,USC,71.09651831537265,98.63736816539327,169.73388648076593,-27.54084985002062,74.8314606741573,73.59890681391491,97.27087832675252,170.86978514066743,-23.671971512837615,73.93145691924158,68.65323900909101,82.7880075842979,151.4412465933889,-14.134768575206891,73.96697125257403,-15.227569954825299,73.96697125257403,-2.071075195072069,73.96697125257403,Manhattan,USC,11/09/2025,2025-11-09 17:00:00-06:00,28.5,28.5,27.5,0.44087818928869593,92.6504861026117,92.209607913323,-42.7275699548253,-42.7275699548253,USC,USC,1
CornellIllinois St.11-9,2025-11-09,Ivy at MVC,184 Cornell at 102 Illinois St.,"Illinois St. -11.8, 89-77 (83%)",41.75613032085344,0,H,Cornell,11/09/2025,107.63705288682488,113.20078355233096,0.3590295574211757,0.1749338797478584,77.33032021695507,Illinois St.,114.50425128530986,105.2286609170436,0.7254137633852753,0.8250661202521417,89.10636693320929,72.50148520755717,,0,,,,,,,,,,,,,,,,,0.7164321274049166,0.9558974992814212,739564,,,,184,102,,,,Cornell,Illinois St.,-11.776046716254214,166.43668715016435,0.0,0.0,0.0,0.0,71.2,101.4,20251109,-3.0999999999999943,110.5,113.6,75.0,2.700000000000003,108.3,105.6,69.9,,,,,,171,319,171,-2.692999999999998,109.055,111.748,74.6925,Illinois St.,319,6.420000000000002,113.035,106.615,69.7595,Cornell,74.37367163176384,-2.0548921710012538,0.1892324057980037,114.47013048134758,114.2808980755495,171,Cornell,Cornell,71.31937987643472,-1.1949833822333877,2.1995437318849453,103.89804481799014,101.69850108610514,Illinois St.,82.37596526447709,91.8550818505618,174.2310471150389,-9.479116586084714,73.63061797752809,81.57932911544226,93.73267557619148,175.31200469163375,-12.15334646074922,73.18134064255617,83.15136662382392,89.69448926201453,172.84585588583843,-6.54312263819061,74.49837275155873,-2.6926770301727885,74.49837275155873,-2.085954437043654,74.49837275155873,Cornell,Illinois St.,11/09/2025,2025-11-09 13:00:00-06:00,7.5,7.5,7.5,23.752526202697656,60.119654441711276,36.367128239013624,-10.192677030172788,-10.192677030172788,Illinois St.,Illinois St.,1
VermontBrown11-9,2025-11-09,AE at Ivy,211 Vermont at 202 Brown,"Brown -3.7, 67-63 (66%)",40.56978746912111,0,H,Vermont,11/09/2025,101.59858033732968,108.19145124237284,0.3267245408305199,0.3425504987350504,63.17084847348477,Brown,100.71840976893286,101.34293762793376,0.4822354193745585,0.6574495012649496,66.85553800463792,64.91329435507836,,0,,,,,,,,,,,,,,,,,0.8775463394359162,0.9615649640162376,739564,,,,211,202,,,,Vermont,Brown,-3.684689531153154,130.02638647812267,0.0,0.0,0.0,0.0,71.2,101.4,20251109,-4.5,103.9,108.4,68.3,-5.1000000000000085,98.3,103.4,70.5,,,,,,948,88,948,-3.8659999999999997,102.937,106.803,66.9049,Brown,88,-3.2520999999999987,99.4259,102.678,69.7284,Vermont,69.0,0.0,0.0,100.0,100.0,948,Vermont,Vermont,71.53574469482511,-8.612704665688057,-3.4628588773926294,93.57020809231312,97.03306696970566,Brown,69.65973022925151,73.07193064636517,142.73166087561668,-3.4122004171136666,67.62851123595506,66.39760506491182,70.55187658572993,136.94948165064176,-4.154271520818114,65.52207344325842,64.49526523190065,65.77604400361703,130.27130923551766,-1.2807787717163848,69.32537056099623,4.113270101051938,69.32537056099623,-1.9411103757078934,69.32537056099623,Vermont,Brown,11/09/2025,2025-11-09 13:00:00-06:00,-6.5,-5.5,-5.5,69.97944856925476,34.762516229348584,-35.21693233990617,9.613270101051938,9.613270101051938,Vermont,Vermont,1
Western MichiganCampbell11-9,2025-11-09,MAC at CAA,257 Western Michigan at 177 Campbell,"Campbell -8.0, 84-76 (76%)",38.16494423377075,0,H,Western Michigan,11/09/2025,101.79443362721776,111.9100227554265,0.2517110860769898,0.2393231517779478,75.66748724366464,Campbell,106.96542067657715,106.34509057949435,0.5167154392717854,0.7606768482220522,83.67201424441149,73.95472132955194,,0,,,,,,,,,,,,,,,,,0.861931059151172,0.9730397868948596,739564,,,,257,177,,,,Western Michigan,Campbell,-8.004527000746847,159.3395014880761,0.0,0.0,0.0,0.0,71.2,101.4,20251109,-9.200000000000003,100.3,109.5,73.0,-3.9000000000000057,103.6,107.5,71.5,,,,,,984,121,984,-7.338999999999999,103.135,110.474,72.2055,Campbell,121,-2.1529999999999916,105.593,107.746,73.6087,Western Michigan,73.68710109127483,4.2859139530476345,3.277993468068753,104.84275349163036,101.56476002356153,984,Western Michigan,Western Michigan,71.26799718250108,3.9906045015877822,5.287407352433476,111.40978595889452,106.12237860646098,Campbell,75.78341650247586,84.32585200365168,160.10926850612753,-8.542435501175817,73.30758426966293,79.53211610177691,88.29835172536293,167.83046782713984,-8.766235623586027,74.64821612148877,78.68053434889691,84.62727824375506,163.30781259265197,-5.946743894858145,73.75747349662424,-1.9328601801906302,73.75747349662424,-2.0652092579054795,73.75747349662424,Western Michigan,Campbell,11/09/2025,2025-11-09 11:30:00-06:00,7.5,8.5,7.5,23.752526202697656,57.302540582890394,33.550014380192735,-9.43286018019063,-9.43286018019063,Campbell,Campbell,1
Morehead St.Georgia11-9,2025-11-09,OVC at SEC,304 Morehead St. at 28 Georgia,"Georgia -27.5, 87-60 (98%)",32.763204498254886,0,H,Morehead St.,11/09/2025,98.15999177871107,111.27892889851562,0.1911470872574016,0.022681415156466,59.91140039570448,Georgia,116.26313205117803,95.0170752975321,0.91057638120093,0.977318584843534,87.39621528172817,70.00194151816932,Morehead St.,0,,,,,,,,,,,,,,,,,0.3959463957797077,0.9809065048604976,739564,,,,304,28,,,,Morehead St.,Georgia,-27.484814886023692,147.30761567743266,0.0,0.0,0.0,0.0,71.2,101.4,20251109,-8.899999999999991,98.7,107.6,71.0,19.299999999999997,115.8,96.5,72.7,,,,,,507,268,507,-10.3981,99.4529,109.851,70.4006,Georgia,268,18.502399999999994,114.771,96.2686,71.4607,Morehead St.,74.92692229863798,5.169343616305889,3.4698730964137523,102.76034664609334,99.29047354967952,507,Morehead St.,Morehead St.,75.9470928170875,45.5062674457301,27.28886938267905,112.93837923360161,85.64950985092246,Georgia,66.20230440253316,91.59495458582022,157.79725898835338,-25.39265018328706,72.49578651685393,64.86069759894185,90.33119765277065,155.1918952517125,-25.4705000538288,70.65837298342697,67.4427657394568,90.8774520831464,158.32021782260318,-23.43468634368959,79.92249890889552,-35.043124482676475,79.92249890889552,-2.2378299694490806,79.92249890889552,Morehead St.,Georgia,11/09/2025,2025-11-09 13:00:00-06:00,27.5,27.5,26.5,0.5804540573384642,99.95772307713823,99.37726901979977,-61.543124482676475,-61.543124482676475,Georgia,Georgia,1
Cal St. NorthridgeNorth Dakota11-9,2025-11-09,BW at Sum,180 Cal St. Northridge at 336 North Dakota,"Cal St. Northridge -4.6, 79-75 (67%)",40.29674466531693,0,H,Cal St. Northridge,11/09/2025,102.37848708142124,107.4976620546837,0.3632898104431125,0.6666134401382444,79.33674579166177,North Dakota,98.45859349645389,109.8022944735096,0.2220047968052817,0.3333865598617556,74.6976443865381,74.67106207905181,,0,,,,,,,,,,,,,,,,,0.9590004404497964,0.9551124785533718,739564,,,,180,336,,,,Cal St. Northridge,North Dakota,4.639101405123668,154.03439017819989,0.0,0.0,0.0,0.0,71.2,101.4,20251109,-3.799999999999997,102.0,105.8,75.0,-12.699999999999989,100.4,113.1,71.5,,,,,,102,571,102,-2.390999999999991,103.727,106.118,74.2476,North Dakota,571,-14.053899999999999,97.1951,111.249,72.2775,Cal St. Northridge,69.0,0.0,0.0,100.0,100.0,102,Cal St. Northridge,Cal St. Northridge,71.92289503701285,-1.6614367090744917,-2.7750682586134685,102.45124039679081,105.22630865540421,North Dakota,83.30402066713482,81.1231203286517,164.42714099578652,2.180900338483127,75.31601123595506,83.38911348129261,78.82735074312484,162.21646422441745,4.561762738167772,75.37122063202249,70.31961233584494,72.40881384963328,142.7284261854782,-2.089201513788339,69.70055839261076,-0.7773725421384654,69.70055839261076,-1.9516156349930895,69.70055839261076,Cal St. Northridge,North Dakota,11/09/2025,2025-11-09 13:00:00-06:00,-6.5,-6.5,-6.5,73.20575054664809,52.95089232015682,-20.254858226491272,5.722627457861535,5.722627457861535,Cal St. Northridge,Cal St. Northridge,1
Grambling St.Howard11-9,2025-11-09,SWAC at MEAC,295 Grambling St. at 329 Howard,"Howard -1.2, 77-75 (54%)",42.44364627177551,0,H,Grambling St.,11/09/2025,99.68951097800375,112.142069484262,0.2052791904017618,0.4558059031842416,75.47264615732038,Howard,99.93409643331852,110.6979070749244,0.2357035254771483,0.5441940968157584,76.64484637611271,72.36003532190782,,0,,,,,,,,,,,,,,,,,0.9558365686157672,0.9791672355384214,739564,,,,295,329,,,,Grambling St.,Howard,-1.1722002187923266,152.1174925334331,0.0,0.0,0.0,0.0,71.2,101.4,20251109,-11.200000000000003,97.5,108.7,72.2,-11.799999999999997,101.0,112.8,73.0,,,,,,283,307,283,-9.700000000000003,101.003,110.703,71.0446,Howard,307,-13.504400000000004,98.6516,112.156,73.1983,Grambling St.,74.04139827457337,-0.414849717608333,2.4331101385920824,111.5819840808332,109.14887394224104,283,Grambling St.,Grambling St.,71.62543932446957,-7.081216783166855,-2.9248216423564477,103.80011216579582,106.72493380815219,Howard,78.05660431089024,82.40791703241574,160.464521343306,-4.3513127215255025,74.0252808988764,79.32767665984854,80.882311297736,160.20998795758453,-1.5546346378874603,73.03853854185392,85.04284205356936,85.5690980642898,170.61194011785915,-0.526256010720445,74.48381572492052,2.9579847093863805,74.48381572492052,-2.0855468402977806,74.48381572492052,Grambling St.,Howard,11/09/2025,2025-11-09 17:00:00-06:00,3.5,3.5,3.5,36.944134018176364,38.90818581384375,1.9640517956673875,-0.5420152906136195,-0.5420152906136195,Howard,Howard,1
Southern MissSouth Carolina11-9,2025-11-09,SB at SEC,298 Southern Miss at 104 South Carolina,"South Carolina -17.5, 85-68 (91%)",29.90146125595389,0,H,Southern Miss,11/09/2025,100.22846102074222,113.21944198399956,0.1975669897293177,0.0869669958182179,67.67911122426578,South Carolina,109.65217485498982,100.96087606074668,0.7210493467523386,0.913033004181782,85.16546149773976,71.7648052562443,,0,,,,,,,,,,,,,,,,,0.7208408159899643,0.98012322299087,739564,,,,298,104,,,,Southern Miss,South Carolina,-17.486350273473974,152.84457272200552,0.0,0.0,0.0,0.0,71.2,101.4,20251109,-8.899999999999991,102.4,111.3,72.1,8.799999999999997,110.8,102.0,70.5,,,,,,777,745,777,-10.216999999999999,101.549,111.766,73.5786,South Carolina,745,5.954000000000008,108.245,102.291,70.096,Southern Miss,70.88587078507247,-1.2022162714468632,0.14480210918764325,111.17601003905014,111.03120792986242,777,Southern Miss,Southern Miss,73.72043442460816,6.619247286380968,7.944660134735423,111.14275349163037,103.19809335689486,South Carolina,71.49248474232297,89.27241177655617,160.76489651887914,-17.779927034233197,71.39115168539325,72.14291934989666,88.86285665880055,161.0057760086972,-16.719937308903894,72.43771833707865,80.73580930257597,91.839971961609,172.57578126418497,-11.104162659033022,73.3951852365475,-7.851304612368381,73.3951852365475,-2.055065186623324,73.3951852365475,Southern Miss,South Carolina,11/09/2025,2025-11-09 17:30:00-06:00,17.5,17.5,18.5,3.9042694968427716,77.26924948514493,73.36497998830215,-26.35130461236838,-26.35130461236838,South Carolina,South Carolina,1
