commence_time,DraftKings,BetMGM spreads,FanDuel,AWAY_ID,AWAY,HOME_ID,HOME,date_x,match,teams,muid,Date,conmatch,matchup,prediction,ttq,Div1,HomeAway,Tm,Date_zero,tm_oe,tm_de,tm_Bart,tm_winpercent,tm_proScore,opp,opp_oe,opp_de,opp_Bart,opp_winpercent,opp_proScore,tpro,tm_qual,gp,result,tempo,possessions,tm_pts,opp_pts,winner,loser,tm_adjt,opp_adjt,tm_adjo,tm_adjd,opp_adjo,opp_adjd,gamevalue,mismatch,blowout,tm_elite,opp_elite,ord_date,tm_ppp,opp_ppp,gameppp,tm_rk,opp_rk,tm_gs,opp_gs,gamestats,VegasSpread,VegasTotal,Reg_dif,Over_dif,Daily_Reg_Tm_net_eff,Daily_Reg_Opp_net_eff,LeagueTempo,LeagueOE,DateNew,Pomeroy_Tm_AdjEM,Pomeroy_Tm_AdjOE,Pomeroy_Tm_AdjDE,Pomeroy_Tm_AdjT,Pomeroy_Opp_AdjEM,Pomeroy_Opp_AdjOE,Pomeroy_Opp_AdjDE,Pomeroy_Opp_AdjT,tm_ptdiff,tm_offensive_rating,tm_defensive_rating,opp_offensive_rating,opp_defensive_rating,Tm_TeamID_Tm,Opp_TeamID,Tm_TeamID_Tm_TRank,TRank_Tm_AdjEM,TRank_Tm_AdjOE,TRank_Tm_AdjDE,TRank_Tm_AdjT,Tm_TeamID_Opp,TRank_Opp_AdjEM,TRank_Opp_AdjOE,TRank_Opp_AdjDE,TRank_Opp_AdjT,MG_Tm_AdjT,MG_ATS_Tm_net_eff,MG_Tm_AdjEM,MG_Tm_AdjOE,MG_Tm_AdjDE,Tm_TeamID_Tm_MG,Team_Standardized_Tm,MG_Opp_AdjT,MG_ATS_Opp_net_eff,MG_Opp_AdjEM,MG_Opp_AdjOE,MG_Opp_AdjDE,Tm_TeamID_Opp,Team_Standardized_Opp,Pomeroy_Tm_Score,Pomeroy_Opp_Score,Pomeroy_OverUnder,Pomeroy_PointDiff,Pomeroy_GameTempo,TRank_Tm_Score,TRank_Opp_Score,TRank_OverUnder,TRank_PointDiff,TRank_GameTempo,MG_Tm_Score,MG_Opp_Score,MG_OverUnder,MG_PointDiff,MG_GameTempo,MG_ATS_PointDiff,MG_ATS_GameTempo,Daily_Reg_PointDiff,Daily_Reg_GameTempo,away_team_y,home_team_y,date_y,VegasImpliedWinPercent,MG_ATS_ImpliedWinPercent,Dif_from_Vegas,Pt_Spread_Difference,Total_Diff,Pomeroy_PointDiffSelection,MG_ATS_PointDiffSelection,Both
,,,,,,,,,,Arkansas vs Michigan St.,ArkansasMichigan St.11-8,2025-11-08,SEC at B10,14 Arkansas at 25 Michigan St.,"Michigan St. -2.3, 77-75 (59%)",83.7860648306886,0,H,Arkansas 7,11/08/2025,116.1126914606599,96.65655808519664,0.8917813357227642,0.4142592206455081,74.89203022988636,Michigan St. 3,115.56630523773435,93.34728867644974,0.9209592708950772,0.5857407793544919,77.18212978553055,72.67701731517387,Arkansas,0,,,,,,,,,,,,,,,,,0.3642086109975953,0.5956779517527241,739563,,,,14,25,,,,-2.29009955564419,152.0741600154169,0.0,0.0,0.0,0.0,71.2,101.4,20251108,,,,,,,,,,,,,,37,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arkansas 7,Michigan St. 3,11/08/2025,,,,,,,,0
,,,,,,,,,,Western Carolina vs Duke,Western CarolinaDuke11-8,2025-11-08,SC at ACC,302 Western Carolina at 2 Duke,"Duke -34.1, 93-59 (99%)",38.63270269497896,0,H,Western Carolina,11/08/2025,98.08737504719296,110.87746136555056,0.1963097401463473,0.0095756058471565,58.555940351841286,Duke 2,120.71309194334164,91.15849329960474,0.9619255827686966,0.9904243941528434,92.6338170733001,71.22904044552732,Western Carolina,0,,,,,,,,,,,,,,,,,0.2089798414252239,0.980277504335232,739563,,,,302,2,,,,-34.07787672145881,151.18975742514138,0.0,0.0,0.0,0.0,71.2,101.4,20251108,,,,,,,,,,,,,,978,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Carolina,Duke 2,11/08/2025,,,,,,,,0
2025-11-08 15:00:00-06:00,-14.5,-14.5,-14.5,219.0,Eastern Washington,159.0,Colorado,11/08/2025,True,Eastern Washington vs Colorado,Eastern WashingtonColorado11-8,2025-11-08,BSky at B12,206 Eastern Washington at 89 Colorado,"Colorado -13.9, 85-71 (87%)",39.76050972752013,0,H,Eastern Washington,11/08/2025,103.93976397196552,110.3163874013918,0.3352084629037593,0.131781290702211,70.97309989668744,Colorado,110.26105959578744,99.33049672392626,0.768627785172248,0.868218709297789,84.86188798997497,72.88819925112723,,0,,,,,,,,,,,,,,,,,0.6676842355733134,0.9601235662194868,739563,,,,206,89,,,,-13.88878809328753,155.83498788666242,0.0,0.0,0.0,0.0,71.2,101.4,20251108,,,,,,,,,,,,,,219,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Washington,Colorado,11/08/2025,91.63531986724158,,,,,Eastern Washington,Eastern Washington,1
2025-11-08 15:00:00-06:00,1.5,1.5,1.5,51.0,Austin Peay,2.0,Air Force,11/08/2025,True,Austin Peay vs Air Force,Austin PeayAir Force11-8,2025-11-08,ASun at MWC,242 Austin Peay at 316 Air Force,"Austin Peay -0.1, 71-70 (50%)",45.60587246618843,0,H,Austin Peay,11/08/2025,101.08245579094816,110.05791526855208,0.2732278911804192,0.5033642004920726,70.09421408085281,Air Force,99.11207923397154,108.03893263665532,0.2705638443384094,0.4966357995079273,70.01223960091244,67.51013754650727,,0,,,,,,,,,,,,,,,,,0.9473535022361876,0.9699640008133767,739563,,,,242,316,,,,0.08197447994037077,140.10645368176523,0.0,0.0,0.0,0.0,71.2,101.4,20251108,,,,,,,,,,,,,,51,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austin Peay,Air Force,11/08/2025,44.32015031835318,,,,,Austin Peay,Austin Peay,1
2025-11-08 20:00:00-06:00,-38.5,-38.5,-38.5,300.0,Holy Cross,86.0,BYU,11/08/2025,True,Holy Cross vs BYU,Holy CrossBYU11-8,2025-11-08,Pat at B12,325 Holy Cross at 7 BYU,"BYU -35.8, 98-62 (99%)",35.80781727870244,0,H,Holy Cross,11/08/2025,100.04220587088824,115.4800496712624,0.1610664165654958,0.0099618297539508,62.172266978171706,BYU,121.87497950207076,94.31024707575482,0.9502004964750936,0.9900381702460492,97.96522712771475,71.64721133819619,Holy Cross,0,,,,,,,,,,,,,,,,,0.2591561389371605,0.9844323526809196,739563,,,,325,7,,,,-35.79296014954305,160.13749410588645,0.0,0.0,0.0,0.0,71.2,101.4,20251108,,,,,,,,,,,,,,300,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holy Cross,BYU,11/08/2025,99.98771336100349,,,,,Holy Cross,Holy Cross,1
2025-11-08 15:00:00-06:00,-1.5,-1.5,-1.5,991.0,William & Mary,557.0,Norfolk St.,11/08/2025,True,William & Mary vs Norfolk St.,William & MaryNorfolk St.11-8,2025-11-08,CAA at MEAC,188 William & Mary at 286 Norfolk St.,"William & Mary -0.9, 77-76 (53%)",50.76572878687044,0,H,William & Mary,11/08/2025,104.98033327105412,110.43741900905722,0.3582945826653265,0.5335823249130036,77.2712311435169,Norfolk St.,100.73629211742646,107.2197578779698,0.3279865660583511,0.4664176750869964,76.37254661328139,72.20677596146848,,0,,,,,,,,,,,,,,,,,0.9318597679049498,0.9560320054371736,739563,,,,188,286,,,,0.8986845302355135,153.64377775679827,0.0,0.0,0.0,0.0,71.2,101.4,20251108,,,,,,,,,,,,,,991,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William & Mary,Norfolk St.,11/08/2025,55.67984968164682,,,,,William & Mary,William & Mary,1
,,,,,,,,,,Bellarmine vs Kansas St.,BellarmineKansas St.11-8,2025-11-08,ASun at B12,328 Bellarmine at 83 Kansas St.,"Kansas St. -25.2, 99-74 (95%)",32.61528293054213,0,H,Bellarmine,11/08/2025,101.70663324974105,117.61117348483656,0.1583105558258917,0.0480857696472812,73.96491770648413,Kansas St. 9,110.3140390330556,98.39746176379064,0.7882879231926305,0.9519142303527188,99.13727632806012,79.22471810535825,,0,,,,,,,,,,,,,,,,,0.6419120458574762,0.9847439880291012,739563,,,,328,83,,,,-25.172358621575995,173.10219403454425,0.0,0.0,0.0,0.0,71.2,101.4,20251108,,,,,,,,,,,,,,62,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bellarmine,Kansas St. 9,11/08/2025,,,,,,,,0
,,,,,,,,,,Marshall vs Toledo,MarshallToledo11-8,2025-11-08,SB at MAC,160 Marshall at 258 Toledo,"Marshall -0.8, 79-78 (53%)",54.241078109814,0,H,Marshall 13,11/08/2025,101.49916887606383,105.05489145031764,0.4022804068515297,0.5290371439209833,78.81641503801603,Toledo,106.48407457059724,111.33448763077608,0.3746658049862085,0.4709628560790166,78.02349773218438,73.36135899610912,,0,,,,,,,,,,,,,,,,,0.9176290665998048,0.9474758277247538,739563,,,,160,258,,,,0.7929173058316508,156.8399127702004,0.0,0.0,0.0,0.0,71.2,101.4,20251108,,,,,,,,,,,,,,434,861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marshall 13,Toledo,11/08/2025,,,,,,,,0
2025-11-08 18:00:00-06:00,-1.5,-1.5,,842.0,Texas A&M Corpus Chris,1012.0,Tarleton St.,11/08/2025,True,Texas A&M Corpus Chris vs Tarleton St.,Texas A&M Corpus ChrisTarleton St.11-8,2025-11-08,Slnd at WAC,211 Texas A&M Corpus Chris at 277 Tarleton St.,"Tarleton St. -0.3, 71-70 (51%)",50.4925679789669,0,H,Texas A&M Corpus Chris,11/08/2025,97.8729534861146,104.11169619315142,0.3294592238982569,0.4893929852388333,69.54137658076445,Tarleton St.,100.96345994521306,107.00363423139984,0.3389005692338321,0.5106070147611667,69.79845479730639,69.8433324452647,,0,,,,,,,,,,,,,,,,,0.9286746286392,0.96110386131476,739563,,,,211,277,,,,-0.25707821654194163,139.33983137807084,0.0,0.0,0.0,0.0,71.2,101.4,20251108,,,,,,,,,,,,,,842,1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Texas A&M Corpus Chris,Tarleton St.,11/08/2025,,,,,,Texas A&M Corpus Chris,Texas A&M Corpus Chris,1
,,,,,,,,,,Prairie View A&M vs Wichita St.,Prairie View A&MWichita St.11-8,2025-11-08,SWAC at Amer,337 Prairie View A&M at 124 Wichita St.,"Wichita St. -18.5, 87-68 (92%)",26.677685061539584,0,H,Prairie View A&M,11/08/2025,96.4467175936105,113.05009508829784,0.1386361854961607,0.0776114226341829,68.34946052381223,Wichita St. 4,107.75345982250018,101.84447245016084,0.6566922321622853,0.922388577365817,86.85765986435912,74.19093511706174,,0,,,,,,,,,,,,,,,,,0.7772515098009836,0.986916317505693,739563,,,,337,124,,,,-18.508199340546895,155.20712038817135,0.0,0.0,0.0,0.0,71.2,101.4,20251108,,,,,,,,,,,,,,650,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prairie View A&M,Wichita St. 4,11/08/2025,,,,,,,,0
