Team,AdjEM,AdjOE,AdjDE
Monmouth,0.8999999999999915,99.1,98.2
Team,0.0,0.0,0.0
Eastern Washington,0.7000000000000028,97.8,97.1
FIU,0.6999999999999886,99.6,98.9
UTSA,0.7000000000000028,103.9,103.2
UC Irvine,0.5999999999999943,98.1,97.5
Ball St.,0.3999999999999915,96.6,96.2
Western Carolina,0.3999999999999915,101.6,101.2
Eastern Michigan,0.30000000000001137,97.9,97.6
UC Riverside,0.20000000000000284,96.2,96.0
Drexel,0.0,101.3,101.3
Belmont,0.0,100.5,100.5
Grand Canyon,-0.20000000000000284,99.8,100.0
UMBC,-0.5,97.8,98.3
Montana,-0.5999999999999943,97.0,97.6
Valparaiso,-0.7999999999999972,96.4,97.2
Colgate,-0.7000000000000028,101.2,101.9
Fresno St.,-0.9000000000000057,98.5,99.4
UT Arlington,-1.0,94.7,95.7
Saint Peter's,-1.0,96.0,97.0
Miami OH,-1.0999999999999943,98.5,99.6
Charlotte,-1.3000000000000114,98.6,99.9
Eastern Illinois,-1.3000000000000114,98.1,99.4
Northeastern,-1.4000000000000057,98.8,100.2
Montana St.,-1.4000000000000057,100.1,101.5
UC Santa Barbara,-1.5999999999999943,102.0,103.6
Detroit,-1.7999999999999972,104.7,106.5
Coastal Carolina,-1.7000000000000028,99.3,101.0
Boston University,-1.8000000000000114,98.6,100.4
Southern Utah,-1.7999999999999972,98.5,100.3
Navy,-1.9000000000000057,99.8,101.7
Illinois Chicago,-1.7000000000000028,93.5,95.2
Illinois St.,-2.0999999999999943,98.0,100.1
Lafayette,-2.200000000000003,102.1,104.3
NJIT,-2.1000000000000085,97.8,99.9
Akron,-2.299999999999997,96.3,98.6
Canisius,-2.4000000000000057,99.1,101.5
Cleveland St.,-2.5,98.4,100.9
Florida Atlantic,-2.6000000000000085,94.8,97.4
Northern Kentucky,-2.700000000000003,97.1,99.8
Chattanooga,-2.799999999999997,99.3,102.1
Wofford,-2.799999999999997,97.8,100.6
Norfolk St.,-2.799999999999997,95.4,98.2
Cal St. Bakersfield,-3.0,95.2,98.2
New Hampshire,-2.9000000000000057,96.1,99.0
College of Charleston,-3.5,97.2,100.7
Hofstra,-3.4000000000000057,96.6,100.0
Louisiana Lafayette,-3.5,97.3,100.8
Youngstown St.,-3.799999999999997,101.8,105.6
UNC Wilmington,-4.0,96.9,100.9
Oral Roberts,-4.099999999999994,101.7,105.8
Texas Southern,-4.099999999999994,97.9,102.0
Team,0.0,0.0,0.0
Southern Miss,-4.0,94.5,98.5
Long Beach St.,-4.099999999999994,96.5,100.6
East Tennessee St.,-4.0,90.2,94.2
Hawaii,-4.299999999999997,95.8,100.1
Middle Tennessee,-4.200000000000003,94.0,98.2
Southern Illinois,-4.3999999999999915,93.7,98.1
UC San Diego,-4.799999999999997,97.3,102.1
South Alabama,-5.0,101.6,106.6
Southern,-4.900000000000006,97.6,102.5
Florida Gulf Coast,-4.799999999999997,93.9,98.7
Manhattan,-4.900000000000006,95.6,100.5
Northwestern St.,-5.099999999999994,99.9,105.0
North Dakota St.,-4.900000000000006,93.8,98.7
Georgia Southern,-5.0,93.6,98.6
Army,-5.099999999999994,94.0,99.1
Temple,-5.1000000000000085,92.8,97.9
Northern Colorado,-5.099999999999994,93.7,98.8
Stetson,-5.5,98.5,104.0
Marist,-5.5,94.5,100.0
Kent St.,-5.6000000000000085,96.3,101.9
James Madison,-5.8999999999999915,99.2,105.1
Sacramento St.,-5.700000000000003,93.7,99.4
Appalachian St.,-5.700000000000003,93.8,99.5
UNC Asheville,-5.900000000000006,97.8,103.7
Towson,-6.1000000000000085,98.6,104.7
Merrimack,-5.599999999999994,90.4,96.0
Jacksonville St.,-5.799999999999997,92.7,98.5
George Washington,-6.0,95.9,101.9
Bryant,-6.200000000000003,97.7,103.9
Lipscomb,-6.200000000000003,95.5,101.7
North Alabama,-6.200000000000003,95.2,101.4
Milwaukee,-6.200000000000003,94.6,100.8
Loyola MD,-6.400000000000006,98.0,104.4
IUPUI,-6.6000000000000085,100.1,106.7
Jackson St.,-6.3999999999999915,92.7,99.1
Robert Morris,-6.5,93.4,99.9
Fairleigh Dickinson,-7.0,99.4,106.4
Iona,-6.8999999999999915,97.9,104.8
Nebraska Omaha,-6.700000000000003,93.0,99.7
VMI,-6.8999999999999915,95.9,102.8
Jacksonville,-6.800000000000011,94.1,100.9
Campbell,-7.0,96.8,103.8
Niagara,-7.200000000000003,99.0,106.2
LIU Brooklyn,-7.0,96.2,103.2
Elon,-7.300000000000011,98.1,105.4
American,-7.200000000000003,94.7,101.9
Delaware,-7.5,98.3,105.8
UC Davis,-7.6000000000000085,95.8,103.4
UT Rio Grande Valley,-7.400000000000006,92.8,100.2
Western Michigan,-7.599999999999994,93.9,101.5
Team,0.0,0.0,0.0
North Carolina A&T,-7.3999999999999915,91.2,98.6
Tennessee Tech,-7.599999999999994,93.5,101.1
Hartford,-7.5,91.6,99.1
Cal Baptist,-8.200000000000003,99.3,107.5
New Mexico,-7.799999999999997,93.2,101.0
Air Force,-8.199999999999989,95.4,103.6
St. Francis PA,-8.5,97.2,105.7
Samford,-8.5,98.8,107.3
UMass Lowell,-8.5,97.4,105.9
Mount St. Mary's,-8.299999999999997,94.3,102.6
Central Arkansas,-8.5,96.0,104.5
Nicholls St.,-8.300000000000011,91.6,99.9
San Jose St.,-8.900000000000006,97.3,106.2
Albany,-8.700000000000003,94.8,103.5
The Citadel,-9.200000000000003,97.6,106.8
Tennessee St.,-8.600000000000009,91.6,100.2
Fort Wayne,-8.700000000000003,91.7,100.4
