ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
5.0,21,,21.30000000000001,21.30000000000001,116.9,0.0,95.6,0.0,Mon 11-07 11-07,H,255 (Ⅳ),Niagara,"W, 71-49",57,124.1,57.8,17.5,42.3,27.5,85.6,40.0,21.0,38.2,14.5,-16.5,-17.0,136.5,116.9,0.0,116.9,116.9,95.6,0.0,95.6,95.6,20221107,108.9,95.7,13.200000000000005,96.7,103.8,-7.099999999999994,106.932,91.965,14.9671,69.3262,-16.94665945249222,128.89117647115302,66.00593850953058,-17.76718417829496,139.52672849283292,-26.009771328892835,139.52672849283292,-17.76718417829496,139.52672849283292,-26.009771328892835,146.87290804531878,-4.516977270211896,95.319,100.981,-5.66219,66.9331,108.9,95.7,13.200000000000005,96.7,103.8,-7.099999999999994,-26.009771328892835,146.87290804531878,0,101.5711692,94.57815921,6.9930099900000044,2.343627093,102.4805336,96.61942637,5.861107230000002,2.455096083,2022-11-07,132.04241921884628,-1.818934317033353,132.04241921884628,-15.303740867188715,132.04241921884628,6.0329,6.0329,0.0,0.0,6.0329,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,-3,0.9472814911099373,0.6664706680662195,6.332900000000011,,0.0,6.0329,0.0,1,0.0,1,1,1,3,0.0,0.0
0.5,16,,19.56666666666668,20.354545454545462,88.2,0.0,72.1,0.0,Thu 11-10 11-10,H,283 (Ⅳ),Western Carolina,"W, 71-51",73,97.1,45.9,16.4,23.5,31.1,69.8,32.5,23.3,29.8,20.6,-20.5,-19.5,142.5,102.55,116.9,107.33333333333334,111.6818181818182,83.85,95.6,87.76666666666667,91.32727272727271,20221110,106.5,92.8,13.700000000000005,95.5,104.6,-9.099999999999994,107.326,92.3585,14.967,69.2925,-21.138437881714673,141.32856772759047,71.18557504267427,-20.666811108802413,146.15261614356012,-28.199252954083367,146.15261614356012,-20.666811108802413,146.15261614356012,-28.199252954083367,131.68730201036533,-9.697860418003373,94.4892,103.927,-9.43804,72.2206,106.5,92.8,13.700000000000005,95.5,104.6,-9.099999999999994,-28.199252954083367,131.68730201036533,0,101.5711692,94.57815921,6.9930099900000044,2.343627093,103.213373,103.6246411,-0.4112681000000009,0.443721844,2022-11-10,147.91760349061724,-3.3734332431309753,147.91760349061724,-18.269350721252096,147.91760349061724,1.0329999999999995,7.065899999999999,6.0329,6.0329,1.0329999999999995,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.9683545838833274,0.8221541915586656,4.59966666666668,,6.332900000000011,3.5329499999999996,6.0329,1,1.0,1,1,1,3,3.0,0.0
3.0,26,21.166666666666675,21.74444444444445,21.399173553719017,104.7,103.26666666666668,78.6,82.1,Tue 11-15 11-15,H,316 (Ⅳ),Binghamton,"W, 76-52",68,111.5,51.6,10.3,30.6,25.0,76.3,37.7,22.0,29.5,19.7,-9.0,-21.0,137.0,103.625,102.55,106.45555555555558,110.41239669421486,81.225,83.85,84.71111111111111,89.01322314049585,20221115,106.6,92.9,13.699999999999989,97.2,105.9,-8.700000000000003,107.205,92.4579,14.7471,69.5468,-18.81513358897955,140.02661535329878,69.9949465206259,-20.261954981431757,146.03910682920122,-23.577846989710043,146.03910682920122,-20.261954981431757,146.03910682920122,-23.577846989710043,149.13039040139188,-10.726996711859847,96.8089,103.453,-6.64368,70.753,106.6,92.9,13.699999999999989,97.2,105.9,-8.700000000000003,-23.6913705921182,149.01203292028055,0,101.5711692,94.57815921,6.9930099900000044,2.343627093,96.7069347,99.48261091,-2.7756762100000003,-6.276576153,2022-11-15,138.12665173777265,-7.955025036307234,138.12665173777265,-21.851582364381166,138.12665173777265,11.2529,18.3188,6.377233333333334,7.065899999999999,11.941566666666667,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-3,0.9772498680518208,0.8465193064050001,6.997344444444451,6.419566666666675,4.59966666666668,6.106266666666665,3.5329499999999996,1,1.0,1,1,1,3,3.0,3.0
30.5,48,30.10000000000001,30.52962962962964,26.25386927122465,134.8,109.23333333333336,86.7,79.13333333333333,Sat 11-19 11-19,N,51 (I),Saint Louis,"W, 95-67",71,133.1,61.1,15.4,40.5,44.4,93.9,40.5,19.6,33.3,41.4,17.0,2.5,145.0,119.2125,103.625,115.90370370370373,114.8465063861758,83.9625,81.225,85.37407407407409,88.59263711495115,20221119,106.7,92.3,14.400000000000006,110.9,95.2,15.700000000000005,107.237,91.8882,15.3485,69.3925,0.7611443405775873,145.57202510772737,71.3211771799431,0.57073787968028,148.78661577132476,-4.386707517933166,148.78661577132476,0.57073787968028,148.78661577132476,-4.386707517933166,143.70553104375097,-2.2976092862709123,112.202,95.1424,17.0595,72.2539,106.7,92.3,14.400000000000006,110.9,95.2,15.700000000000005,-4.536938800376726,143.86461116238883,0,99.53556358,86.0782548,13.457308780000005,15.80529449,110.100634,98.37890286,11.721731140000003,16.18501732,2022-11-19,140.5831066329696,0.2708227923770039,140.5831066329696,-1.324724827990437,140.5831066329696,32.6515,50.970299999999995,10.357755555555556,18.3188,40.61254444444444,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.4059036140017165,0.5866048401953838,15.18112962962964,14.751500000000009,6.997344444444451,12.742575,6.106266666666665,1,1.0,1,1,1,3,3.0,3.0
17.0,39,37.96666666666668,33.58641975308643,28.698620312820168,134.0,124.5,94.3,86.53333333333335,Sun 11-20 11-20,N,45 (I),Miami FL,"W, 88-70",68,128.8,69.0,26.3,47.8,46.0,102.5,49.2,13.2,22.2,19.4,14.5,-1.0,143.5,126.60625,119.2125,121.93580246913584,118.32895977050744,89.13125,83.9625,88.3493827160494,89.63033945768728,20221120,107.0,92.4,14.599999999999994,110.5,94.8,15.700000000000005,107.237,91.8882,15.3485,69.3925,-0.1246998328308564,139.52249246967142,69.53552949146516,0.4740563446896999,144.87759802620732,-13.730646034834821,144.87759802620732,0.4740563446896999,144.87759802620732,-13.730646034834821,139.21905535955835,-21.38103521386978,109.629,94.1059,15.5235,70.4449,107.0,92.4,14.599999999999994,110.5,94.8,15.700000000000005,-13.285989716734438,139.44646527542866,0,109.9354406,83.09396684,26.841473760000014,37.70102834,103.5563703,105.5958228,-2.039452499999996,-5.076613885,2022-11-20,143.8798938101642,-29.745660025118312,143.8798938101642,-13.102296529178858,143.8798938101642,23.6515,74.6218,23.89527037037037,50.970299999999995,50.726529629629624,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.5379371440662541,0.9791393315384024,18.23791975308643,22.61816666666668,15.18112962962964,14.924360000000002,12.742575,1,1.0,1,1,1,3,3.0,3.0
-7.5,6,31.53333333333333,24.65761316872429,24.717052983216497,117.8,128.86666666666665,111.0,97.33333333333331,Fri 11-25 11-25,H,257 (Ⅳ),Coppin St.,"W, 95-79",74,128.3,51.5,14.9,47.4,47.1,106.7,63.7,21.6,21.4,45.1,28.0,-23.5,146.0,122.203125,126.60625,120.55720164609056,118.23278526677882,100.065625,89.13125,95.89958847736628,93.51573228356231,20221125,111.8,92.8,19.0,98.7,106.9,-8.200000000000003,112.046,92.1631,19.8831,67.8976,-25.83470328501101,147.2521204914837,70.77392777467993,-24.502069698714294,153.46316352670163,-30.372541225936626,153.46316352670163,-24.502069698714294,153.46316352670163,-30.372541225936626,149.44599653359222,-22.230680992496517,96.2128,106.673,-10.4597,73.2781,111.8,92.8,19.0,98.7,106.9,-8.200000000000003,-31.14183891482757,148.75365691032312,0,109.6321954,83.89859264,25.733602759999997,36.48321207,102.9389579,101.7210324,1.2179255000000069,4.113075349,2022-11-25,143.82912631644825,-25.29352938109649,143.82912631644825,-33.87472079717562,143.82912631644825,-13.883099999999999,60.738699999999994,40.80411358024691,74.6218,19.93458641975308,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,3,0.9873925774343177,0.9828788884799727,4.77451316872429,11.650233333333333,18.23791975308643,10.123116666666666,14.924360000000002,1,1.0,1,1,1,3,3.0,3.0
