Team,AdjEM,AdjOE,AdjDE
Abilene Christian,-1.7999999999999972,99.8,101.6
Air Force,3.799999999999997,103.3,99.5
Akron,2.700000000000003,103.5,100.8
Alabama,19.0,109.9,90.9
Alabama A&M,-11.600000000000009,92.8,104.4
Alabama St.,-16.0,92.8,108.8
Albany,-14.799999999999997,97.3,112.1
Alcorn St.,-9.099999999999994,97.4,106.5
American,-3.4000000000000057,101.1,104.5
Appalachian St.,-2.8000000000000114,99.1,101.9
Arizona,22.10000000000001,118.7,96.6
Arizona St.,14.599999999999994,104.8,90.2
Arkansas,16.5,105.6,89.1
Arkansas Pine Bluff,-14.200000000000003,94.7,108.9
Arkansas St.,-8.099999999999994,95.7,103.8
Army,-7.799999999999997,100.2,108.0
Auburn,18.5,106.1,87.6
Austin Peay,-6.0,97.7,103.7
BYU,3.1999999999999886,103.6,100.4
Ball St.,-0.5999999999999943,104.2,104.8
Baylor,20.299999999999997,115.8,95.5
Bellarmine,-4.900000000000006,102.6,107.5
Belmont,-1.0,105.4,106.4
Bethune Cookman,-12.599999999999994,96.2,108.8
Binghamton,-15.900000000000006,97.0,112.9
Boise St.,11.899999999999991,103.6,91.7
Boston College,-0.10000000000000853,99.3,99.4
Boston University,-8.200000000000003,97.8,106.0
Bowling Green,-8.799999999999997,98.0,106.8
Bradley,5.700000000000003,100.8,95.1
Brown,-1.7999999999999972,95.5,97.3
Bryant,-0.3999999999999915,106.4,106.8
Bucknell,-3.5,104.9,108.4
Buffalo,-1.3000000000000114,100.6,101.9
Butler,11.5,107.6,96.1
Cal Baptist,-0.3999999999999915,99.4,99.8
Cal Poly,-6.6000000000000085,95.6,102.2
Cal St. Bakersfield,-10.5,91.2,101.7
Cal St. Fullerton,-5.299999999999997,99.8,105.1
Cal St. Northridge,-10.699999999999989,96.4,107.1
California,-8.099999999999994,94.5,102.6
Campbell,-5.299999999999997,99.8,105.1
Canisius,-10.299999999999997,97.8,108.1
Central Arkansas,-10.699999999999989,98.9,109.6
Central Connecticut,-14.099999999999994,94.0,108.1
Central Michigan,-9.700000000000003,95.1,104.8
Charleston Southern,-10.199999999999989,99.9,110.1
Charlotte,4.900000000000006,103.9,99.0
Chattanooga,3.700000000000003,106.2,102.5
Chicago St.,-12.700000000000003,102.6,115.3
Cincinnati,9.299999999999997,108.2,98.9
Clemson,10.5,110.0,99.5
Cleveland St.,1.2999999999999972,100.8,99.5
Coastal Carolina,-5.8999999999999915,97.9,103.8
Colgate,5.700000000000003,112.0,106.3
College of Charleston,11.700000000000003,111.7,100.0
Colorado,12.299999999999997,107.7,95.4
Colorado St.,5.300000000000011,105.9,100.6
Columbia,-16.5,91.5,108.0
Connecticut,24.89999999999999,115.1,90.2
Coppin St.,-9.200000000000003,101.0,110.2
Cornell,0.0,105.8,105.8
Creighton,18.200000000000003,111.7,93.5
Dartmouth,-12.299999999999997,93.5,105.8
Davidson,1.0,106.0,105.0
Dayton,7.799999999999997,102.0,94.2
DePaul,3.799999999999997,106.8,103.0
Delaware,-2.9000000000000057,103.0,105.9
Delaware St.,-22.200000000000003,89.2,111.4
Denver,-5.700000000000003,104.6,110.3
Detroit,-4.099999999999994,107.2,111.3
Drake,11.199999999999989,108.1,96.9
Drexel,-4.200000000000003,99.7,103.9
Duke,22.0,112.8,90.8
Duquesne,4.400000000000006,109.7,105.3
East Carolina,-5.0,101.8,106.8
East Tennessee St.,-7.8999999999999915,96.4,104.3
Eastern Illinois,-19.200000000000003,89.0,108.2
