ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-4.0,-27,,-27.90000000000001,-27.90000000000001,92.1,0.0,120.0,0.0,Mon 11-07 11-07,A,32 (I-A),Virginia Tech,"L, 95-57",69,82.1,41.9,17.3,18.4,11.3,136.9,66.7,14.4,39.3,33.3,15.0,34.0,137.0,92.1,0.0,92.1,92.1,120.0,0.0,120.0,120.0,20221107,87.1,112.6,-25.5,110.6,93.7,16.89999999999999,82.2299,109.035,-26.8053,72.4072,36.40790727764452,138.22962136560218,70.82763126714084,35.29311454184666,150.28619136128776,41.36206369507893,150.28619136128776,35.29311454184666,150.28619136128776,41.36206369507893,168.19912562028998,27.972464825964266,110.517,90.3629,20.1543,68.7664,87.1,112.6,-25.5,110.6,93.7,16.89999999999999,41.36206369507893,168.19912562028998,0,88.91427329,107.8094481,-18.89517481,-11.03302144,105.3827913,90.48234953,14.90044177,17.23677648,2022-11-07,141.32971468203004,-0.19470000000000098,-0.19470000000000098,0.0,0.0,-0.19470000000000098,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,-3,0.0006016531650416823,0.003860370075848052,-1.0947000000000102,,0.0,-0.19470000000000098,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
24.5,5,,-16.933333333333337,-21.91818181818182,94.6,0.0,89.6,0.0,Mon 11-14 11-14,A,77 (Ⅱ),Villanova,"L, 60-50",57,87.1,51.1,24.4,16.0,8.9,104.6,42.4,10.5,20.0,54.3,-29.0,34.5,139.0,93.35,92.1,92.93333333333334,92.55454545454543,104.8,120.0,109.86666666666667,114.47272727272728,20221114,85.2,110.6,-25.39999999999999,109.7,92.2,17.5,83.1363,109.954,-26.8177,72.0187,35.51405591928637,139.330632131267,69.9040342739687,34.613311736733976,143.89352587708763,36.09805823105608,143.89352587708763,34.613311736733976,143.89352587708763,36.09805823105608,167.4320311320236,22.27658747656922,111.173,92.3328,18.8401,68.2358,85.2,110.6,-25.39999999999999,109.7,92.2,17.5,36.42212485664164,167.78673959061467,0,88.91427329,107.8094481,-18.89517481,-11.03302144,103.2993515,96.44680728,6.852544219999999,8.943767652,2022-11-14,141.5738176516856,31.8177,31.622999999999998,-0.19470000000000098,-0.19470000000000098,31.8177,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,3,0.0005086206751643285,0.01693652178082905,9.884366666666661,,-1.0947000000000102,15.811499999999999,-0.19470000000000098,1,-1.0,1,1,-1,3,-3.0,0.0
2.5,-23,-15.333333333333336,-18.98888888888889,-22.133057851239677,82.8,89.83333333333333,105.9,105.16666666666669,Wed 11-16 11-16,A,341 (Ⅳ),Columbia,"L, 70-65",72,90.2,57.1,29.2,28.6,10.7,97.2,48.0,22.2,27.3,64.0,-10.0,7.5,145.0,88.07499999999999,93.35,89.55555555555556,90.7809917355372,105.35,104.8,108.54444444444444,112.91404958677684,20221116,86.7,109.4,-22.700000000000003,94.6,107.0,-12.400000000000006,84.276,109.153,-24.8765,69.7843,11.906846862676872,140.5393852585501,73.00221984793743,12.105448574487653,146.7208517906098,-5.666533631134067,146.7208517906098,12.105448574487653,146.7208517906098,-5.666533631134067,135.5016718582162,-7.830932918297492,93.4986,108.067,-14.5688,73.5417,86.7,109.4,-22.700000000000003,94.6,107.0,-12.400000000000006,-5.623452006769964,135.5928215732003,0,98.1573315,94.11220236,4.04512914,-1.211988147,92.79929235,105.0959199,-12.296627549999997,-7.56273547,2022-11-16,141.86171830807422,1.8765,33.4995,10.411199999999997,31.622999999999998,23.0883,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,0.23752526202697655,0.7721068270757552,5.887611111111109,9.543166666666664,9.884366666666661,11.1665,15.811499999999999,1,1.0,1,1,1,3,3.0,-3.0
-2.0,-24,-14.333333333333336,-20.959259259259262,-22.63613824192337,90.0,89.13333333333333,114.9,103.46666666666664,Sun 11-20 11-20,A,9 (I-A),Connecticut,"L, 95-60",74,80.9,40.4,24.3,19.4,50.0,128.1,67.2,17.5,33.3,31.1,21.5,33.0,133.5,89.0375,88.07499999999999,89.70370370370371,90.63899323816678,110.125,105.35,110.66296296296298,113.27513148009017,20221120,86.7,109.1,-22.39999999999999,107.3,92.9,14.399999999999991,84.1171,108.497,-24.3797,69.8174,34.573986132704846,135.9879341631959,69.62354002162164,29.975127625266452,141.58647671229244,29.560276208434207,141.58647671229244,29.975127625266452,141.58647671229244,29.560276208434207,133.68102158349944,13.323500358967571,110.349,89.5034,20.8458,70.1048,86.7,109.1,-22.39999999999999,107.3,92.9,14.399999999999991,29.691514292310835,133.9627477099255,0,99.54695648,96.59491592,2.9520405600000004,-2.203061473,104.5667269,87.99309877,16.573628130000003,22.58384548,2022-11-20,134.7043420946809,0.3796999999999997,33.8792,18.1073,33.4995,15.771899999999999,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.0008365373610761395,0.10223751077462129,3.4204407407407373,10.046366666666664,5.887611111111109,8.4698,11.1665,1,1.0,1,1,1,3,3.0,3.0
-4.0,-32,-26.733333333333334,-24.706172839506177,-24.3750221979373,84.8,85.86666666666667,117.0,112.6,Sat 11-26 11-26,A,91 (Ⅱ),Liberty,"L, 80-53",65,81.4,41.2,26.1,28.6,27.5,122.8,63.6,12.3,25.0,27.1,0.5,23.0,132.5,86.91874999999999,89.0375,88.06913580246915,89.57735810395464,113.5625,110.125,112.77530864197531,113.95238030189194,20221126,87.1,109.7,-22.60000000000001,105.4,98.2,7.200000000000003,85.4458,109.727,-24.2815,68.7262,23.369414750887685,128.07864078253698,63.829531570981516,23.4037844658652,132.33896847586152,17.00039872592036,132.33896847586152,23.4037844658652,132.33896847586152,17.00039872592036,129.30229099122764,-1.1558222778729146,105.679,99.2327,6.4461,65.2912,87.1,109.7,-22.60000000000001,105.4,98.2,7.200000000000003,17.077634680076187,129.22330436162696,0,99.52308968,95.03583021,4.487259469999998,1.642547123,100.7488897,103.5717199,-2.8228301999999985,4.340055146,2022-11-26,130.12568878993872,-7.718499999999999,26.1607,23.364599999999996,33.8792,2.7961000000000027,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.01424485985536783,0.5438263660038365,-0.42467283950617585,-2.451833333333333,3.4204407407407373,5.232139999999998,8.4698,-1,1.0,1,1,1,1,3.0,3.0
-1.0,-30,-29.200000000000003,-26.637448559670787,-25.488654525585066,93.4,89.39999999999999,123.9,118.6,Wed 11-30 11-30,A,344 (Ⅳ),St. Francis NY,"L, 81-73",72,101.5,43.5,18.1,47.6,29.0,112.6,51.5,13.9,39.0,39.4,18.5,7.0,135.5,90.159375,86.91874999999999,89.84609053497944,90.2723839032356,118.73125,113.5625,116.48353909465024,115.76103842882068,20221130,86.7,109.9,-23.200000000000003,91.9,108.4,-16.5,85.3931,109.882,-24.4886,67.8349,8.023586626136819,126.95714955232782,65.17225955817923,8.338811221074927,130.47830085025902,4.5051742827244645,130.47830085025902,8.338811221074927,130.47830085025902,4.5051742827244645,124.72094126324139,-5.85262043137746,92.1176,110.459,-18.3412,67.5406,86.7,109.9,-23.200000000000003,91.9,108.4,-16.5,4.410791921865695,124.59925522891552,0,98.77257801,97.43187325,1.3407047600000084,-1.535929307,90.7106729,103.7523196,-13.041646700000001,-6.309095916,2022-11-30,127.32827346435565,-5.511399999999998,20.6493,24.296633333333332,26.1607,-3.647333333333332,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.2524925375469229,0.7113703290606617,-2.1488485596707854,-4.711400000000001,-0.42467283950617585,3.441550000000003,5.232139999999998,-1,-1.0,-1,1,1,-1,1.0,3.0
