Team,AdjEM,AdjOE,AdjDE
Abilene Christian,-1.8000000000000114,101.1,102.9
Air Force,4.400000000000006,103.7,99.3
Akron,4.8999999999999915,103.6,98.7
Alabama,21.5,112.3,90.8
Alabama A&M,-13.399999999999991,91.9,105.3
Alabama St.,-16.700000000000003,92.7,109.4
Albany,-16.099999999999994,95.5,111.6
Alcorn St.,-7.6000000000000085,98.1,105.7
American,-2.3000000000000114,101.6,103.9
Appalachian St.,-2.0999999999999943,98.7,100.8
Arizona,25.5,122.5,97.0
Arizona St.,16.19999999999999,106.1,89.9
Arkansas,18.400000000000006,107.9,89.5
Arkansas Pine Bluff,-14.600000000000009,93.1,107.7
Arkansas St.,-8.599999999999994,95.2,103.8
Army,-9.300000000000011,99.1,108.4
Auburn,16.099999999999994,105.8,89.7
Austin Peay,-6.1000000000000085,96.8,102.9
BYU,5.5,103.4,97.9
Ball St.,1.4000000000000057,106.2,104.8
Baylor,20.400000000000006,114.5,94.1
Bellarmine,-4.199999999999989,101.9,106.1
Belmont,-0.5,106.3,106.8
Bethune Cookman,-18.400000000000006,92.8,111.2
Binghamton,-16.799999999999997,96.0,112.8
Boise St.,12.200000000000003,100.8,88.6
Boston College,-3.5,94.9,98.4
Boston University,-8.399999999999991,98.2,106.6
Bowling Green,-8.100000000000009,98.6,106.7
Bradley,5.200000000000003,99.0,93.8
Brown,-2.9000000000000057,94.0,96.9
Bryant,-2.299999999999997,105.2,107.5
Bucknell,-4.400000000000006,103.3,107.7
Buffalo,-1.7999999999999972,100.9,102.7
Butler,12.899999999999991,107.1,94.2
Cal Baptist,-0.09999999999999432,98.9,99.0
Cal Poly,-7.200000000000003,95.2,102.4
Cal St. Bakersfield,-9.599999999999994,91.5,101.1
Cal St. Fullerton,-4.900000000000006,98.5,103.4
Cal St. Northridge,-11.599999999999994,95.7,107.3
California,-10.5,92.9,103.4
Campbell,-5.0,98.2,103.2
Canisius,-9.399999999999991,96.4,105.8
Central Arkansas,-11.799999999999997,98.3,110.1
Central Connecticut,-13.299999999999997,95.9,109.2
Central Michigan,-10.0,94.5,104.5
Charleston Southern,-9.5,102.4,111.9
Charlotte,6.5,104.7,98.2
Chattanooga,4.299999999999997,108.6,104.3
Chicago St.,-11.300000000000011,101.1,112.4
Cincinnati,8.899999999999991,108.1,99.2
Clemson,9.899999999999991,109.3,99.4
Cleveland St.,0.10000000000000853,99.9,99.8
Coastal Carolina,-6.1000000000000085,97.8,103.9
Colgate,4.3999999999999915,111.3,106.9
College of Charleston,13.900000000000006,111.7,97.8
Colorado,13.200000000000003,108.3,95.1
Colorado St.,7.8999999999999915,107.3,99.4
Columbia,-15.0,90.0,105.0
Connecticut,28.200000000000003,115.3,87.1
Coppin St.,-9.200000000000003,102.3,111.5
Cornell,-0.7000000000000028,104.5,105.2
Creighton,16.099999999999994,109.5,93.4
Dartmouth,-13.200000000000003,90.8,104.0
Davidson,1.6000000000000085,104.9,103.3
Dayton,10.100000000000009,101.7,91.6
DePaul,-0.5999999999999943,103.7,104.3
Delaware,-0.7000000000000028,103.8,104.5
Delaware St.,-23.599999999999994,88.2,111.8
Denver,-6.599999999999994,103.7,110.3
Detroit,-3.5999999999999943,107.7,111.3
Drake,7.200000000000003,104.5,97.3
Drexel,-1.5999999999999943,99.5,101.1
Duke,22.10000000000001,112.2,90.1
Duquesne,5.8999999999999915,109.6,103.7
East Carolina,-2.700000000000003,103.6,106.3
East Tennessee St.,-8.0,96.8,104.8
Eastern Illinois,-19.299999999999997,89.3,108.6
Eastern Kentucky,-6.1000000000000085,97.1,103.2
Eastern Michigan,-10.599999999999994,102.5,113.1
Eastern Washington,-4.400000000000006,99.1,103.5
Elon,-17.10000000000001,93.8,110.9
Evansville,-12.900000000000006,91.0,103.9
FIU,-5.300000000000011,96.1,101.4
Fairfield,-5.099999999999994,98.2,103.3
Fairleigh Dickinson,-15.699999999999989,101.9,117.6
Florida,14.799999999999997,107.7,92.9
Florida A&M,-24.099999999999994,82.5,106.6
