Season,Team,Tempo,RankTempo,AdjT,RankAdjTempo,OE,RankOE,AdjO,RankAdjOE,DE,RankDE,AdjD,RankAdjDE,AdjEM,RankAdjEM
2023,USC Upstate,68.5426,163,68.0614,143,95.9365,312,97.2027,310,105.182,251,106.296,228,-9.093,279
2023,UT Arlington,65.4826,308,65.4186,283,92.457,342,97.2099,308,105.564,260,106.239,226,-9.02931,278
2023,UT Rio Grande Valley,75.9388,1,74.1331,1,101.076,206,101.755,221,110.348,323,111.662,323,-9.90642,294
2023,Utah,67.4212,227,67.1666,197,105.859,102,108.304,91,91.9867,19,93.8564,25,14.4477,45
2023,Utah St.,70.1996,87,69.496,68,112.055,19,114.995,18,101.092,149,100.854,108,14.1412,46
2023,Utah Tech,70.511,74,69.4464,73,103.009,162,104.676,159,106.851,280,107.278,251,-2.60223,205
2023,Utah Valley,70.1073,92,68.3036,133,104.668,127,107.297,106,96.7058,76,98.2278,75,9.06968,82
2023,UTEP,68.02,194,66.3165,241,95.081,320,96.0106,329,95.5586,51,96.3457,48,-0.335117,179
2023,UTSA,68.5649,162,67.6025,166,97.7565,273,99.856,257,111.161,332,113.352,344,-13.4964,326
2023,Valparaiso,68.9414,151,67.7245,162,96.2889,308,97.3755,306,104.431,229,106.097,222,-8.72137,275
2023,Vanderbilt,67.9171,202,66.485,231,106.346,89,111.804,44,102.693,197,102.976,157,8.82858,84
2023,VCU,70.0925,93,69.4824,70,101.887,181,104.234,170,91.6584,17,94.6393,30,9.59462,79
2023,Vermont,65.9385,298,64.4654,312,98.7663,253,102.69,201,101.79,169,101.913,132,0.777516,159
2023,Villanova,65.3972,310,63.6824,336,107.723,69,112.306,38,103.998,222,101.104,115,11.2027,72
2023,Virginia,63.0597,357,61.7385,361,111.623,24,114.916,19,95.6471,53,93.6562,22,21.2593,11
2023,Virginia Tech,66.8575,260,66.1225,247,108.158,58,111.102,60,97.652,91,97.0517,57,14.0499,47
2023,VMI,67.128,243,66.9653,209,97.7709,272,99.1658,274,114.639,357,115.22,353,-16.0544,343
2023,Wagner,64.4332,338,63.8921,329,95.6528,315,96.0486,328,97.1115,79,105.616,216,-9.56713,289
2023,Wake Forest,69.984,102,69.3284,77,109.121,47,113.337,30,102.243,182,102.725,151,10.6123,76
2023,Washington,69.3124,131,68.8839,106,99.6992,229,105.613,136,99.469,115,99.4885,93,6.12438,105
2023,Washington St.,64.2129,343,63.4737,338,106.685,81,111.631,49,101.37,154,99.5179,94,12.1135,67
2023,Weber St.,66.5993,271,65.525,277,96.3472,305,98.1912,293,100.546,140,101.861,130,-3.66937,218
2023,West Virginia,69.9409,103,68.3919,127,109.587,45,113.464,29,98.415,97,96.0574,43,17.407,28
2023,Western Carolina,67.7126,215,67.2014,194,101.133,203,102.052,215,104.832,239,108.276,267,-6.22343,243
2023,Western Illinois,68.8063,155,66.9907,205,102.448,168,101.115,236,106.509,276,108.28,268,-7.16576,256
2023,Western Kentucky,67.8383,207,67.0078,204,103.649,147,105.063,148,103.896,221,105.025,206,0.0378296,168
2023,Western Michigan,66.993,250,66.1294,246,101.758,185,103.857,179,113.85,353,113.321,343,-9.46397,286
2023,Wichita St.,66.4671,279,64.7713,305,98.1511,262,102.001,216,95.2229,47,97.9849,64,4.01643,126
2023,William & Mary,66.0934,291,66.0207,257,98.1156,263,98.9183,278,110.452,326,110.073,306,-11.1545,308
2023,Winthrop,67.729,213,66.5329,229,103.338,151,104.644,161,112.872,345,113.054,340,-8.40995,269
2023,Wisconsin,64.0788,345,63.2824,343,101.766,184,106.232,124,95.6925,55,93.9118,26,12.3201,65
2023,Wofford,65.7522,303,65.2433,292,105.486,108,106.109,129,105.846,264,108.314,269,-2.20524,199
2023,Wright St.,72.363,31,71.7402,23,104.296,137,102.283,210,102.739,199,106.502,231,-4.21974,224
2023,Wyoming,65.9631,296,65.3966,284,102.43,170,107.203,108,107.446,290,106.618,235,0.585318,161
2023,Xavier,74.2838,5,72.2689,14,113.208,14,117.913,6,101.683,161,99.7508,97,18.1621,23
2023,Yale,67.0802,245,66.4011,236,106.056,94,106.374,121,93.1835,27,99.6016,95,6.77215,98
2023,Youngstown St.,69.4826,123,68.4379,124,117.097,2,113.95,27,105.168,250,109.786,300,4.16399,123
